Zähler;Zeit [s];Messwert
1;1e-05;0.4186
2;0.10161;0.4187
3;0.20163;0.4169
4;0.30049;0.4156
5;0.40062;0.4178
6;0.50152;0.4128
7;0.60093;0.4147
8;0.70104;0.4197
9;0.80083;0.4127
10;0.90068;0.4161
11;1.00078;0.4175
12;1.10089;0.4133
13;1.20006;0.414
14;1.30062;0.4149
15;1.40069;0.4208
16;1.50094;0.4174
17;1.60169;0.4169
18;1.70052;0.4128
19;1.80003;0.4176
20;1.90068;0.4151
21;2.00085;0.4169
22;2.10083;0.413
23;2.20032;0.423
24;2.30093;0.4211
25;2.40061;0.4183
26;2.50107;0.4189
27;2.59999;0.4146
28;2.70142;0.4138
29;2.80123;0.4191
30;2.90032;0.4109
31;2.99998;0.4159
32;3.10017;0.4162
33;3.2007;0.4104
34;3.30194;0.4078
35;3.40195;0.4138
36;3.50192;0.4131
37;3.60075;0.4097
38;3.7015;0.4131
39;3.80145;0.4085
40;3.90101;0.408
41;4.00174;0.4152
42;4.10076;0.4126
43;4.20013;0.4124
44;4.30176;0.4113
45;4.40071;0.4077
46;4.50125;0.4088
47;4.60014;0.4123
48;4.70176;0.4084
49;4.80189;0.4115
50;4.90015;0.4073
51;5.00123;0.4105
52;5.10017;0.4063
53;5.20068;0.4019
54;5.30042;0.4093
55;5.40018;0.4048
56;5.50074;0.408
57;5.60073;0.4032
58;5.70166;0.4052
59;5.80103;0.4035
60;5.90037;0.4085
61;6.00032;0.4078
62;6.10073;0.4062
63;6.20038;0.4034
64;6.30016;0.4067
65;6.40012;0.4052
66;6.50004;0.4007
67;6.60029;0.2036
68;6.70088;0.2075
69;6.80012;0.2115
70;6.90038;0.2086
71;7.00108;0.2082
72;7.10017;0.2109
73;7.20193;0.2032
74;7.30154;0.1975
75;7.4004;0.2075
76;7.50155;0.2
77;7.60097;0.2036
78;7.70127;0.2014
79;7.80039;0.2036
80;7.90178;0.2017
81;8.0016;0.1994
82;8.10034;0.2028
83;8.19997;0.2006
84;8.30097;0.1988
85;8.40129;0.2045
86;8.50106;0.2061
87;8.60094;0.2017
88;8.70047;0.2052
89;8.80152;0.2035
90;8.90123;0.201
91;9.00159;0.2032
92;9.10017;0.1995
93;9.20068;0.2003
94;9.30165;0.2104
95;9.40157;0.2035
96;9.50057;0.2078
97;9.60031;0.2068
98;9.70085;0.1982
99;9.80015;0.2001
100;9.90129;0.2034
101;10.00082;0.1916
102;10.10064;0.1886
103;10.20112;0.1955
104;10.30123;0.2019
105;10.40151;0.2135
106;10.50135;0.214
107;10.60188;0.2064
108;10.70133;0.2094
109;10.80058;0.1999
110;10.90162;0.1959
111;11.00181;0.2023
112;11.10175;0.1926
113;11.20156;0.1544
114;11.30158;0.1909
115;11.40162;0.1812
116;11.50054;0.1774
117;11.60024;0.1972
118;11.7015;0.1575
119;11.80046;0.1832
120;11.90077;0.1614
121;12.00061;0.165
122;12.10065;0.1474
123;12.20068;0.1549
124;12.30149;0.1607
125;12.40159;0.1615
126;12.50088;0.1599
127;12.6014;0.1642
128;12.70049;0.1714
129;12.80032;0.1637
130;12.90093;0.1649
131;13.00131;0.1623
132;13.10118;0.1621
133;13.20152;0.156
134;13.30177;0.1626
135;13.40131;0.1669
136;13.5012;0.1629
137;13.60186;0.165
138;13.70182;0.1722
139;13.80114;0.1628
140;13.90032;0.1592
141;14.00072;0.1562
142;14.10144;0.1623
143;14.20185;0.1659
144;14.30092;0.1638
145;14.40098;0.1593
146;14.5002;0.1605
147;14.60125;0.1491
148;14.70019;0.1656
149;14.8006;0.1608
150;14.90161;0.1618
151;15.00191;0.1528
152;15.10075;0.1593
153;15.20009;0.1607
154;15.30082;0.1691
155;15.40029;0.1704
156;15.50159;0.1604
157;15.60149;0.1675
158;15.70075;0.1613
159;15.80142;0.1565
160;15.90049;0.1645
161;16.00149;0.1648
162;16.1002;0.1661
163;16.20074;0.1708
164;16.30196;0.1666
165;16.40134;0.1709
166;16.49999;0.168
167;16.60156;0.166
168;16.70063;0.1671
169;16.80093;0.1625
170;16.90036;0.1635
171;17.00187;0.1697
172;17.10106;0.1605
173;17.20081;0.1681
174;17.30034;0.1634
175;17.40034;0.1671
176;17.50003;0.1626
177;17.60094;0.1606
178;17.7011;0.1539
179;17.80083;0.1602
180;17.90036;0.1621
181;18.00168;0.1546
182;18.10173;0.1708
183;18.20069;0.1627
184;18.30149;0.1643
185;18.40064;0.1632
186;18.5011;0.1662
187;18.6019;0.1645
188;18.70017;0.1618
189;18.80102;0.1645
190;18.90011;0.1611
191;19.00061;0.1617
192;19.10047;0.1624
193;19.20107;0.1587
194;19.3014;0.1609
195;19.40101;0.1607
196;19.50032;0.1544
197;19.60097;0.1682
198;19.70135;0.1605
199;19.80021;0.159
200;19.90004;0.1555
201;20.00178;0.1571
202;20.10103;0.1574
203;20.20021;0.164
204;20.30138;0.1651
205;20.40117;0.1586
206;20.50078;0.1542
207;20.60117;0.1582
208;20.70145;0.1594
209;20.80118;0.1665
210;20.89997;0.1632
211;21.00065;0.1665
212;21.10102;0.1703
213;21.20164;0.1511
214;21.30186;0.1562
215;21.40136;0.1515
216;21.50169;0.1536
217;21.60045;0.1519
218;21.70009;0.1561
219;21.80023;0.1471
220;21.90103;0.1498
221;22.00074;0.1519
222;22.10154;0.1515
223;22.20008;0.1524
224;22.30019;0.1579
225;22.40118;0.1603
226;22.50176;0.1649
227;22.6007;0.1616
228;22.70043;0.1633
229;22.80065;0.1629
230;22.90021;0.1532
231;23.00278;0.1556
232;23.1027;0.1622
233;23.20119;0.1636
234;23.30084;0.171
235;23.40005;0.1605
236;23.50107;0.1442
237;23.60059;0.1496
238;23.70006;0.1542
239;23.80008;0.1609
240;23.90125;0.1716
241;24.0016;0.1499
242;24.10069;0.1631
243;24.20115;0.1649
244;24.30034;0.1528
245;24.40058;0.1495
246;24.5009;0.1569
247;24.60018;0.1651
248;24.70059;0.1567
249;24.80186;0.1589
250;24.90075;0.1599
251;25.00105;0.1661
252;25.10169;0.1617
253;25.20191;0.1603
254;25.30082;0.1575
255;25.40026;0.1671
256;25.50157;0.1578
257;25.60085;0.1606
258;25.70144;0.1547
259;25.80066;0.1549
260;25.901;0.1569
261;26.00066;0.1593
262;26.10054;0.1602
263;26.2003;0.1611
264;26.30042;0.1621
265;26.40013;0.1641
266;26.50014;0.1638
267;26.60191;0.1609
268;26.70171;0.1649
269;26.80063;0.1618
270;26.90117;0.1623
271;27.00078;0.1579
272;27.09999;0.1654
273;27.20157;0.1638
274;27.30013;0.161
275;27.40078;0.1628
276;27.50028;0.1611
277;27.60062;0.1636
278;27.7011;0.1608
279;27.80003;0.1561
280;27.90028;0.1601
281;28.00088;0.1572
282;28.10017;0.1592
283;28.20127;0.1558
284;28.30141;0.1578
285;28.40079;0.1561
286;28.50124;0.1582
287;28.60108;0.1523
288;28.70181;0.1559
289;28.80002;0.1557
290;28.90142;0.1584
291;29.00022;0.1513
292;29.10013;0.1533
293;29.20173;0.1606
294;29.29999;0.1534
295;29.40059;0.154
296;29.50177;0.1587
297;29.6007;0.1569
298;29.70044;0.1457
299;29.80047;0.1506
300;29.90113;0.1536
301;30.00018;0.1523
302;30.10045;0.1556
303;30.20168;0.1547
304;30.30095;0.155
305;30.4001;0.1518
306;30.50113;0.1572
307;30.60084;0.1552
308;30.70116;0.152
309;30.80151;0.1554
310;30.90058;0.1505
311;31.00154;0.1578
312;31.10165;0.1551
313;31.20124;0.1577
314;31.30045;0.1595
315;31.40088;0.1599
316;31.50154;0.1621
317;31.60124;0.1558
318;31.70108;0.1641
319;31.80168;0.1613
320;31.90037;0.1606
321;32.00152;0.1637
322;32.1018;0.1608
323;32.20099;0.1608
324;32.30009;0.1639
325;32.40125;0.164
326;32.50055;0.1666
327;32.60047;0.1654
