time_s,measured_value
1e-05,-1.3064
0.09981,-1.3304
0.1995,-1.3569
0.30082,-1.3286
0.3997,-1.1628
0.50015,-1.1518
0.60101,-1.1067
0.70088,-1.0348
0.79971,-0.9714
0.90089,-0.8999
1.00077,-0.6769
1.1009,-0.2415
1.20076,0.5659
1.29982,-0.0404
1.39979,-0.374
1.50086,0.0861
1.59978,0.181
1.70072,-0.7042
1.79975,-1.1435
1.89981,-1.1858
1.99974,-1.1171
2.09958,-0.8335
2.20088,-0.8674
2.30078,-1.2264
2.40077,-0.6617
2.50114,-0.3722
2.60063,-0.7577
2.6995,-0.6337
2.80081,0.595
2.89944,0.8407
3.00063,0.8516
3.10082,3.2906
3.20047,5.0129
3.30082,4.2525
3.40077,0.1698
3.50062,-0.0802
3.60079,-0.4175
3.70083,-0.9598
3.8,-0.8694
3.90083,0.6836
3.99968,-0.4619
4.0999,-0.2311
4.20076,-0.6679
4.2996,-1.1293
4.40074,-1.1047
4.50077,-1.0772
4.59996,-1.141
4.70114,-1.1683
4.80088,-1.1314
4.90059,-1.1895
4.99982,-1.1758
5.10059,-1.1808
5.20071,-1.1351
5.29956,-1.12
5.40117,-1.1731
5.50017,-1.1964
5.60075,-1.183
5.70081,-1.17
5.79928,-1.1918
5.90103,-1.1739
5.99954,-1.1743
6.10084,-1.2016
6.20056,-1.1993
6.2995,-1.167
6.40067,-1.1484
6.50003,-1.1085
6.60063,-1.1316
6.7002,-1.1251
6.80114,-1.0865
6.89946,-1.1192
6.99947,-1.1163
7.09994,-1.1073
7.20083,-1.1252
7.30078,-1.1267
7.40089,-1.1149
7.50099,-1.1191
7.60059,-1.1573
7.70098,-1.0786
7.79952,-1.1052
7.89968,-1.0965
8.00073,-1.0933
8.101,-1.069
8.20064,-1.1041
8.30017,-1.1096
8.39928,-1.099
8.5006,-1.0565
8.60075,-1.0457
8.70062,-1.0427
8.80107,-1.1047
8.89951,-1.0927
9.00108,-1.1065
9.10087,-1.0759
9.20075,-1.0584
9.30114,-1.1162
9.3998,-1.0871
9.49977,-1.0665
9.60086,-1.1007
9.70083,-1.1035
9.79949,-1.0583
9.90105,-1.047
10.00086,-1.0937
10.10088,-1.0733
10.19959,-1.0073
10.29956,-1.0111
10.40091,-0.9808
10.50093,-0.9501
10.59948,-0.8942
10.69985,-0.9026
10.79996,-0.8705
10.90069,-0.7807
11.00112,-0.9513
11.10093,-0.973
11.20095,-0.9391
11.30073,-0.7746
11.4009,-0.8356
11.50106,-0.7393
11.59966,-0.726
11.69985,-0.7382
11.8008,-0.7776
11.90075,-0.8153
12.00086,-0.7814
12.09957,-0.836
12.20092,-0.8374
12.29982,-0.8621
12.40092,-0.8796
12.49981,-0.8393
12.59943,-0.8858
12.7008,-0.8357
12.80096,-0.8596
12.90054,-0.7147
12.99994,-0.7742
13.10003,-0.419
13.19961,-0.8547
13.30093,-0.9846
13.40063,-0.7164
13.50009,-0.7575
13.6,-0.8625
13.70109,-1.1086
13.79966,-0.9927
13.89993,-1.1811
14.00091,-0.2764
14.10073,-0.7191
14.19948,-0.7329
14.30107,-0.8474
14.40099,-0.6613
14.49979,-1.2934
14.60101,-0.9366
14.70062,-0.7522
14.8008,-0.2315
14.89933,0.0872
15.00095,-0.6904
15.0996,-0.9811
15.20086,-0.8086
15.3,0.3941
15.40121,2.2197
15.5007,1.7759
15.60022,2.8141
15.69961,4.7681
15.79958,3.4605
15.89967,0.3004
15.9995,1.8092
16.09947,2.7769
16.19984,5.4621
16.30079,3.8986
16.40089,1.0749
16.50069,1.5139
16.5994,1.6365
16.70065,-1.1233
16.80093,-1.3518
16.8995,-0.7107
17.00105,-0.8475
17.09957,-0.3914
17.19992,0.5021
17.3008,1.6188
17.39997,1.6436
17.5007,-0.3893
17.59964,0.7353
17.70097,0.0894
17.79929,0.626
17.90009,-0.443
18.00083,-0.7728
18.10072,1.711
18.19969,2.0522
18.29941,3.9531
18.40003,6.6332
18.50073,3.2309
18.59935,-0.0493
18.70097,1.6592
18.79985,2.669
18.8998,1.504
19.00066,0.0429
19.1006,1.0992
19.20114,2.6148
19.30095,5.3851
19.40121,7.8578
19.50081,8.6729
19.6001,6.1473
19.7,5.5821
19.79938,4.2889
19.90098,2.8014
20.00091,-0.3148
20.10077,-0.9476
20.20053,-0.257
20.30087,-0.671
20.40087,-0.3396
20.49971,1.4743
20.59937,4.5665
20.70095,7.3652
20.80106,3.9964
20.89939,1.0664
21.00057,-0.1644
21.09938,-1.2641
21.20062,-1.0812
21.30062,-0.737
21.4008,-1.0465
21.50004,0.282
21.60027,2.6921
21.70075,3.1054
21.80075,2.7158
21.89975,2.6415
22.00079,8.5608
22.10076,9.5809
22.19977,6.2406
22.30097,3.3286
22.4007,0.2782
22.50088,-0.7262
22.60126,-0.833
22.70086,-0.8459
22.79976,-0.5429
22.90074,2.8562
22.99942,2.3228
23.10002,6.4987
23.20103,8.7579
23.30079,4.7276
23.40086,3.3133
23.50074,2.73
23.59978,-0.4934
23.70074,-0.2195
23.80088,0.0133
23.90002,1.9755
24.00051,5.5503
24.10071,5.0215
24.20094,4.2638
24.29934,12.5445
24.40091,5.8836
24.5008,5.9582
24.59992,3.0596
24.70083,3.242
24.79997,1.1063
24.89989,-0.0075
24.9995,2.4515
25.10074,5.8307
25.19945,8.8678
25.30009,7.5399
25.401,3.4209
25.4993,2.9329
25.6008,1.567
25.70051,0.7264
25.80106,0.0063
25.89988,0.0028
26.00095,0.1336
26.10093,3.7656
26.20089,6.1115
26.29993,5.433
26.401,7.5983
26.49997,1.8627
26.60098,1.7169
26.69993,1.0194
26.80066,-0.4747
26.90102,-1.2058
27.00082,-0.9918
27.10009,-1.0356
