time_s,measured_value
0,-0.0439
0.09991,-0.0458
0.20011,-0.0261
0.30122,-0.0376
0.40077,-0.0486
0.50055,-0.0341
0.60059,-0.0414
0.70124,-0.0472
0.80059,-0.0354
0.90062,-0.0426
0.99977,-0.0317
1.09956,-0.0492
1.20071,-0.0404
1.29948,-0.0442
1.40115,-0.0328
1.50005,-0.0458
1.59985,-0.0526
1.70018,-0.0346
1.80023,-0.0356
1.89986,-0.0444
2.00015,-0.0474
2.09938,-0.0371
2.19947,-0.0452
2.30088,-0.0409
2.40025,-0.0467
2.50013,-0.0449
2.60128,-0.0325
2.69964,-0.0344
2.80086,-0.0411
2.90045,-0.0352
3.00037,-0.0349
3.10066,-0.051
3.2009,-0.0369
3.30099,-0.0475
3.39999,-0.0482
3.49962,-0.0378
3.5994,-0.0453
3.69975,-0.0462
3.80075,-0.0521
3.90134,-0.0386
4.0008,-0.0507
4.09997,-0.043
4.19969,-0.0428
4.29992,-0.0466
4.3997,-0.0358
4.50053,-0.0503
4.60048,-0.0452
4.70043,-0.0476
4.80073,-0.0345
4.90064,-0.0501
4.99976,-0.0466
5.10032,-0.0456
5.20031,-0.0459
5.30019,-0.0442
5.39944,-0.0436
5.49976,-0.0516
5.59962,-0.0463
5.70081,-0.0446
5.80018,-0.0461
5.90122,-0.0382
5.99958,-0.0487
6.10063,-0.046
6.20094,-0.0559
6.30025,-0.0483
6.39961,-0.0427
6.4995,-0.0526
6.60092,-0.0474
6.69996,-0.0489
6.80029,-0.0507
6.9002,-0.0486
7.0011,-0.0457
7.10086,-0.0462
7.19983,-0.0476
7.30079,-0.047
7.40031,-0.0426
7.49979,-0.05
7.59941,-0.0484
7.7007,-0.0475
7.80107,-0.0443
7.90064,-0.0537
8.00152,-0.0475
8.09966,-0.0509
8.20036,-0.0436
8.30111,-0.0434
8.39949,-0.0429
8.50063,-0.0482
8.59997,-0.0482
8.69965,-0.046
8.80062,-0.0407
8.89999,-0.0435
9.00029,-0.048
9.09954,-0.0498
9.20092,-0.0432
9.30122,-0.0488
9.40039,-0.047
9.49995,-0.0447
9.6007,-0.0523
9.69963,-0.0387
9.80132,-0.0482
9.90134,-0.0454
10.00025,-0.0433
10.10038,-0.0573
10.20015,-0.0486
10.29992,-0.0384
10.40006,-0.0521
10.49961,-0.0594
10.59996,-0.0468
10.701,-0.0374
10.79973,-0.0528
10.90137,-0.0545
11.00141,-0.0527
11.10055,-0.045
11.20015,-0.0487
11.30073,-0.0545
11.4004,-0.0569
11.49969,-0.0424
11.60018,-0.0495
11.70105,-0.0476
11.80008,-0.0529
11.90014,-0.049
11.99968,-0.0548
12.1008,-0.0474
12.20126,-0.0497
12.30094,-0.0437
12.40041,-0.0466
12.5001,-0.0403
12.6001,-0.0535
12.69932,-0.0547
12.80113,-0.0542
12.90063,-0.0477
12.99958,-0.0484
13.10044,-0.0499
13.20058,-0.064
13.29978,-0.0527
13.40063,-0.0528
13.49994,-0.0549
13.60016,-0.05
13.70037,-0.0606
13.79939,-0.0482
13.89964,-0.0527
13.99936,-0.0496
14.10088,-0.054
14.20102,-0.0501
14.30046,-0.0543
14.40033,-0.0462
14.50099,-0.0567
14.6,-0.0557
14.70041,-0.0484
14.80079,-0.0574
14.9,-0.0641
15.00042,-0.0472
15.10018,-0.0476
15.20025,-0.0532
15.30064,-0.0507
15.40054,-0.0646
15.50052,-0.0519
15.60044,-0.0436
15.70163,-0.0508
15.79978,-0.069
15.90036,-0.0568
16.00079,-0.0489
16.09972,-0.051
16.2007,-0.0593
16.30116,-0.0474
16.40033,-0.0483
16.49964,-0.0587
16.60108,-0.0717
16.7,-0.0529
16.80021,-0.0595
16.9006,-0.0607
16.99942,-0.0556
17.10086,-0.0575
17.20107,-0.0573
17.29997,-0.0618
17.40045,-0.0578
17.50135,-0.0553
17.60089,-0.0553
17.69976,-0.0618
17.80098,-0.0623
17.90055,-0.0569
18.00003,-0.057
18.10021,-0.0644
18.20139,-0.0585
18.29946,-0.0606
18.40006,-0.0568
18.49953,-0.0552
18.60012,-0.0577
18.69941,-0.0578
18.79996,-0.0712
18.89993,-0.0589
19.00019,-0.0584
19.09981,-0.0587
19.20127,-0.0654
19.3011,-0.0556
19.40072,-0.0515
19.50052,-0.065
19.60111,-0.0664
19.70013,-0.0563
19.80012,-0.0608
19.90005,-0.0611
19.99968,-0.0691
20.10143,-0.0638
20.19993,-0.0567
20.30022,-0.0637
20.40087,-0.0663
20.50048,-0.0619
20.59984,-0.0632
20.69987,-0.0713
20.8005,-0.0643
20.90075,-0.0517
21.00007,-0.069
21.10107,-0.0685
21.19968,-0.0611
21.29949,-0.0523
21.40059,-0.0659
21.5014,-0.072
21.60042,-0.0562
21.70039,-0.0554
21.80016,-0.0699
21.90008,-0.0668
22.00007,-0.0622
22.10067,-0.0584
22.19963,-0.0743
22.30134,-0.063
22.40004,-0.0603
22.50059,-0.0699
22.60027,-0.0736
22.70051,-0.0675
22.80071,-0.0593
22.89995,-0.0646
23.00084,-0.0676
23.10127,-0.0661
23.20091,-0.064
23.30058,-0.0745
23.39969,-0.0609
23.50036,-0.0659
23.60071,-0.0748
23.69993,-0.0145
23.80122,-0.119
23.90098,-0.0853
24.0002,-0.0866
24.09981,-0.0862
24.20113,-0.0949
24.29943,-0.0242
24.40083,-0.0915
24.49977,-0.079
24.59963,-0.082
24.70107,-0.0798
24.79942,-0.0888
24.90021,-0.0925
25.00112,-0.0598
25.1007,0.0139
25.20058,0.0064
25.30068,-0.0036
25.39976,0.0159
25.50009,-0.0296
25.60098,-0.0525
25.70071,-0.082
25.8002,-0.0879
25.90108,-0.0525
26.00046,-0.0332
26.10026,-0.0274
