time_s,measured_value
0,-1.5352
0.10056,-1.5242
0.20045,-1.5252
0.30054,-1.5321
0.39927,-1.5356
0.49973,-1.5411
0.60134,-1.5307
0.70016,-1.538
0.79991,-1.5412
0.90049,-1.5426
1.00006,-1.5354
1.10065,-1.5491
1.19946,-1.537
1.30125,-1.5396
1.40044,-1.5493
1.4997,-1.544
1.60073,-1.5287
1.70121,-1.5245
1.80134,-1.519
1.90045,-1.5209
2.00039,-1.5328
2.10105,-1.5154
2.20033,-1.5184
2.3002,-1.5154
2.40033,-1.5197
2.50014,-1.5232
2.60126,-1.5147
2.7011,-1.5227
2.80067,-1.5136
2.9009,-1.5201
3.00066,-1.5232
3.09991,-1.5215
3.19997,-1.527
3.30003,-1.5365
3.40074,-1.5304
3.49982,-1.5388
3.59942,-1.5361
3.70129,-1.5318
3.80031,-1.5378
3.90065,-1.5406
4.00034,-1.536
4.10033,-1.5416
4.20048,-1.5388
4.30052,-1.5419
4.4009,-1.5394
4.49963,-1.5391
4.6009,-1.5397
4.70082,-1.5425
4.80015,-1.5387
4.90021,-1.5448
5.00023,-1.5548
5.10094,-1.5056
5.2005,-1.5379
5.30026,-1.5562
5.40103,-1.5778
5.50107,-1.5863
5.601,-1.4919
5.70119,-1.4699
5.79997,-1.478
5.90025,-1.4792
6.00079,-1.5094
6.10023,-1.4639
6.20094,-1.4364
6.29951,-1.4264
6.40047,-1.4586
6.50044,-1.452
6.60011,-1.5096
6.70081,-1.5833
6.80015,-1.6899
6.90075,-1.6574
6.99937,-1.5972
7.10087,-1.6318
7.20085,-1.7711
7.30014,-1.6334
7.39957,-1.3668
7.50029,-1.385
7.59963,-1.4435
7.7,-1.6169
7.80005,-1.5754
7.89959,-1.4961
8.0005,-0.2835
8.09952,2.271
8.20126,1.2258
8.30009,1.4279
8.40114,1.1296
8.49931,0.1834
8.60121,-0.8175
8.70051,-0.4834
8.80015,0.472
8.90075,1.0689
9.00044,0.4584
9.10046,0.818
9.20108,0.8026
9.30101,1.1492
9.40095,1.4844
9.50011,1.434
9.60009,0.1611
9.70036,-3.9673
9.80113,-3.7491
9.90065,0.526
10.00101,1.6613
10.09957,1.6514
10.20027,2.1681
10.30021,4.6334
10.40025,4.8625
10.49976,25.7652
10.60025,18.9925
10.70001,19.0515
10.79982,19.4914
10.90017,19.6326
11.00064,12.3607
11.10073,9.4449
11.20124,8.7956
11.30119,9.5565
11.40063,9.581
11.49962,9.5834
11.60123,9.2544
11.69952,8.9019
11.8005,8.6251
11.90045,8.4778
11.99948,8.5802
12.09961,8.4902
12.20121,8.1248
12.29995,8.3206
12.40002,8.4853
12.50105,8.378
12.59999,8.0616
12.70012,8.2238
12.80079,8.7081
12.8997,8.5631
12.99979,8.2107
13.10095,8.1056
13.19984,8.1687
13.29983,8.078
13.40092,7.9125
13.50053,8.064
13.59951,7.7742
13.69991,7.3564
13.80061,7.68
13.90133,7.3211
14.00004,7.379
14.10072,7.3469
14.19943,8.1286
14.30053,7.0991
14.40036,5.7539
14.50064,5.6551
14.59994,4.9673
14.70003,6.408
14.79965,6.9912
14.90057,8.4039
15.0007,9.2077
15.09953,10.0614
15.2009,6.5991
15.29958,4.2224
15.40009,3.2005
15.50058,2.6988
15.60034,4.2782
15.70001,5.6932
15.80112,7.7998
15.89946,10.6635
15.99978,11.7911
16.10034,11.7748
16.19946,19.165
16.29989,6.2105
16.40062,4.7557
16.50029,6.0502
16.60118,9.1069
16.69939,13.3366
16.79988,18.9738
16.90109,22.7885
17.00087,24.2891
17.10092,19.6725
17.20094,4.9992
17.29958,1.5823
17.39974,1.0808
17.49981,3.288
17.60085,1.7341
17.70118,-0.059
17.80109,1.5886
17.90101,1.2269
18.00067,-0.7715
18.10049,4.0669
18.20121,2.4306
18.30116,3.4793
18.4002,2.8314
18.50023,0.5481
18.60128,-0.3568
18.70033,0.1242
18.80043,1.1649
18.90045,5.1075
18.99959,7.069
19.09993,8.6895
19.19941,8.8408
19.30041,7.6173
19.39979,5.8898
19.49958,4.505
19.60124,3.4189
19.70033,2.3421
19.80007,1.7749
19.9002,4.4553
20.0013,5.6996
20.09991,8.0787
20.19954,7.0167
20.30041,6.3951
20.40078,6.2097
20.50007,5.4107
20.6011,3.042
20.70073,4.1586
20.7993,4.9102
20.89991,5.8126
21.00097,5.2717
21.10103,5.3827
21.19987,5.9239
21.29945,4.9723
21.40099,4.3977
21.50008,1.8917
21.60127,3.25
21.70023,2.5826
21.80011,2.7775
21.90086,4.226
21.99961,4.3107
22.10124,3.842
22.20026,4.1188
22.30072,3.6475
22.39976,3.1992
22.50088,3.4293
22.60121,2.9069
22.70028,2.5834
22.80092,3.2317
22.90129,3.4788
23.00117,2.9957
23.10003,3.0234
23.20108,2.2645
23.3007,1.1627
23.39977,0.9218
23.50113,3.1944
23.60112,6.2382
23.70058,4.802
23.8012,5.1983
23.90014,3.6328
23.99934,2.3954
24.09973,2.0275
24.20011,5.2124
24.3003,5.9764
24.40137,5.3409
24.50053,4.697
24.59943,7.1628
24.69946,6.6875
24.80128,6.1621
24.90009,6.383
24.99965,7.4063
25.10035,5.5534
25.20036,4.6561
25.30132,3.6341
25.4013,6.1146
25.50013,5.664
25.59974,6.8167
25.69994,7.074
25.79999,7.4769
25.90035,6.1251
25.99945,2.7369
26.10041,5.8412
26.20065,10.782
26.30028,7.2378
26.39933,7.0741
26.50099,3.867
26.59978,1.1857
26.69978,3.3223
26.79957,-0.4212
26.89938,4.3925
26.99957,4.4088
27.09943,5.3062
27.20125,6.5763
27.29954,4.3009
27.40089,1.5833
27.5004,1.4747
27.60081,-0.1593
27.70058,4.1847
27.80035,8.2011
27.8999,6.4965
28.00022,6.217
28.10113,3.7233
28.20054,3.9288
28.29954,2.4329
28.40016,5.0186
28.49973,8.6888
28.59996,5.9206
28.70031,5.792
28.80066,5.8989
28.89943,5.9202
29.001,6.1833
29.1,4.7921
29.19957,2.2031
29.30126,4.4087
29.40018,10.4805
29.50125,6.4877
29.59995,6.4477
29.6996,3.6836
29.80104,3.6739
29.90073,4.4267
30.00101,4.1915
30.10114,6.9787
30.19989,9.2179
30.30007,6.2152
30.40021,6.2503
30.50101,4.3495
30.60106,4.0423
30.70034,3.9995
30.80077,2.6043
30.90005,4.058
31.00004,1.5373
31.10046,4.08
31.20007,3.147
31.29983,1.6139
31.40102,1.8945
31.50013,1.0449
31.60131,2.5444
31.70019,4.377
31.7996,2.983
31.89965,4.2551
32.00086,4.6279
32.10115,2.6131
32.20108,2.9008
32.29948,3.2514
32.40004,3.5514
32.49996,8.6863
32.60041,9.2412
32.69944,10.8468
32.80125,9.7178
32.90078,6.0702
33.00055,3.3031
33.09988,5.2071
33.19969,9.6206
33.29979,9.7783
33.40043,6.1099
33.49963,7.7817
33.59974,5.2884
33.69965,4.8472
33.80103,0.9847
33.9005,4.0901
33.99975,10.2955
34.10009,6.6499
34.20088,7.1896
34.30013,3.0437
34.39991,1.6175
34.49962,1.0144
34.5997,1.6261
34.7003,5.013
34.80017,2.43
34.9006,5.5073
35.00013,4.0615
35.10061,2.4365
35.2002,2.7715
35.30029,3.8295
35.40014,7.7725
35.50072,5.4486
35.59947,5.2727
35.7012,6.1108
35.79978,6.9575
35.89988,6.0303
35.99945,3.7972
36.09962,9.6192
36.20035,12.4731
36.30066,10.5414
36.40057,7.3439
36.49979,5.9228
36.59982,7.6728
36.70109,7.357
36.79976,8.5597
36.90018,7.5467
37.00029,8.7754
37.10135,6.3382
37.20046,5.7708
37.30116,6.6671
37.3997,6.7441
37.50068,6.1883
37.60134,3.6312
37.70132,3.6789
37.79972,1.8251
37.90023,2.9634
37.99982,4.8041
38.09953,3.8553
38.20041,5.6142
38.30063,3.6005
38.40071,4.5458
38.50036,3.8922
38.60059,2.3174
38.69975,3.1855
38.7999,4.3083
38.90061,5.7105
39.0002,3.8274
39.1002,2.8542
39.1999,2.9081
39.29973,1.4631
39.40103,3.9648
39.50058,0.21
39.59929,5.0872
39.70015,9.1535
39.80035,5.1973
39.89941,3.742
40.00079,3.3203
40.10013,2.6199
40.20009,5.3859
40.30077,2.1911
40.40066,1.6811
40.50134,3.4135
40.60011,1.6415
40.69951,2.9449
40.79993,1.8466
40.8999,0.3597
41.00048,1.5818
41.10055,2.8101
41.20053,4.5004
41.30021,2.8549
41.40115,1.933
41.50138,0.7711
41.60064,0.7775
41.70105,0.4791
41.79963,-0.2142
41.90128,5.9736
42.00071,1.2316
42.09956,1.2944
42.20123,1.4979
42.2997,0.9746
42.39941,1.5859
42.49984,1.2618
42.60077,2.7544
42.70074,1.9883
42.79946,1.5416
42.90044,1.3738
42.99957,0.4064
43.10133,0.7166
43.19978,0.9355
43.29939,1.3189
43.4008,2.8433
43.50113,2.616
43.60099,1.5034
43.69967,-0.7379
43.80002,0.2727
43.89993,1.2407
43.99979,3.3513
44.10057,4.0634
44.20026,0.8121
44.30062,3.2621
44.39969,1.9348
44.5,2.9074
44.60061,4.7428
44.69996,5.8856
44.7997,8.793
44.90025,6.5302
45.00011,4.4143
45.09942,1.7373
45.19971,3.1194
45.29987,4.6272
45.39959,5.9634
45.49934,3.1783
45.59985,1.9075
45.70077,3.2102
45.80003,4.2901
45.90066,13.8084
46.00039,4.7238
46.10027,5.4947
46.201,4.461
46.30028,5.4985
46.39933,7.5802
46.50051,4.1397
46.60058,3.3892
46.70052,3.4255
46.79991,3.0528
46.89964,-0.7588
47.00064,0.6378
47.10043,-0.4216
47.20082,1.227
47.2993,4.1297
47.40117,0.7011
47.49969,0.4755
47.6,-0.2836
47.70015,-0.0167
47.8003,-0.6606
47.90059,-0.8962
48.00042,0.9689
48.10073,1.6846
48.19979,1.9196
48.29935,0.1741
48.39967,0.593
48.50037,-0.7391
48.60033,-0.694
48.7009,-1.3006
48.80006,0.8614
48.89957,4.2542
49.00132,1.0953
49.1012,1.479
49.2006,-0.2926
49.30133,-0.1985
49.39933,-0.396
49.49959,0.6413
49.60098,2.5077
49.70018,8.4541
49.80008,3.3657
49.89964,0.6258
50.00054,-0.4921
50.10093,-0.2341
50.1996,1.4729
50.30034,2.3351
50.39985,2.6179
50.50043,8.9079
50.60048,8.4824
50.7007,5.8238
50.8007,5.2729
50.89935,3.1081
51.00093,5.0267
51.09946,6.8994
51.19959,5.0586
51.29972,8.1719
51.39938,4.0616
51.49944,4.1262
51.59948,3.7563
51.69955,3.8051
51.79984,7.1007
51.90124,4.1983
51.99949,2.8564
52.10109,3.4907
52.20103,7.0308
52.30097,7.7089
52.40078,5.8395
52.50064,-0.7963
52.60094,0.7801
52.70129,1.9785
52.80111,3.9655
52.90035,3.3388
52.99942,10.7381
53.09961,3.3567
