time_s,measured_value
0,6.7578
0.09987,6.5255
0.20072,6.5688
0.29984,7.3096
0.40125,6.4328
0.50165,6.5467
0.59976,6.4908
0.69977,6.6339
0.80135,6.6254
0.89979,6.7732
1.00164,6.7033
1.10167,6.6502
1.20175,6.5808
1.30274,6.5344
1.40017,6.4164
1.50167,5.6799
1.60025,5.9326
1.69994,4.3801
1.79984,4.7265
1.8997,3.6291
2.00001,3.8094
2.10083,2.6313
2.1999,2.3154
2.29975,1.2996
2.40163,5.8526
2.50141,4.2855
2.6015,6.4346
2.70117,1.8107
2.79996,3.2172
2.89996,2.4608
3.00006,3.9907
3.10159,4.3538
3.20072,4.6493
3.30082,5.4558
3.40157,5.6604
3.49973,5.478
3.60174,5.7309
3.70028,7.0458
3.80015,8.1457
3.90154,7.3674
4.00059,5.8876
4.10168,4.8431
4.20018,8.5903
4.30098,11.2152
4.40072,12.8438
4.49984,10.7086
4.59988,10.1509
4.70154,8.2949
4.80059,11.431
4.90152,16.8949
4.99976,15.825
5.10182,9.6038
5.20174,9.2757
5.30157,9.3175
5.40056,11.4567
5.50176,16.8029
5.6015,20.5984
5.70131,16.2352
5.79983,15.0081
5.90158,11.2614
5.99973,10.1437
6.10162,12.2145
6.20022,16.7977
6.3004,15.4133
6.40074,10.5165
6.50167,11.382
6.60149,9.6646
6.70139,10.6984
6.8001,14.8291
6.90165,18.7795
7.00192,16.7111
7.09998,14.2653
7.20178,14.3131
7.30158,11.7548
7.4007,10.6991
7.49987,11.383
7.59982,7.2817
7.70048,6.5653
7.80083,7.6748
7.9015,8.4361
8.0002,7.5658
8.10062,6.8142
8.20094,5.7238
8.30164,5.1508
8.39993,3.9522
8.50141,4.282
8.60008,5.5366
8.70159,7.0182
8.80085,9.3798
8.9016,9.2605
9.0005,8.9749
9.09989,8.1738
9.20165,11.989
9.30153,14.2391
9.40164,15.1158
9.50116,12.7467
9.60052,10.4186
9.70172,9.4706
9.80162,10.0057
9.90153,10.8751
10.00159,10.1821
10.09994,6.7136
10.19985,9.0836
10.30119,8.9142
10.39971,9.1244
10.50055,11.337
10.59984,13.9582
10.70159,18.6977
10.79975,18.4979
10.89975,19.258
10.9999,14.4369
11.09993,7.9966
11.20149,7.4294
11.29972,12.4223
11.39971,14.2228
11.49974,12.8093
11.60014,11.9801
11.70155,6.6118
11.79977,8.3551
11.89983,11.0284
12.00079,15.2307
12.10019,13.6691
12.19981,14.4988
12.30155,6.7297
12.40093,5.1751
12.50007,7.5365
12.59975,6.5572
12.70183,13.4512
12.80163,18.8779
12.90154,13.7763
13.00148,7.7775
13.09989,5.4149
13.20085,5.2844
13.30153,8.8418
13.40085,15.6626
13.5017,10.7335
13.60017,2.0392
13.69975,1.0556
13.79991,-0.6233
13.89982,0.0198
14.0001,-1.0162
14.10073,1.0396
14.19979,4.3432
14.29985,5.5182
14.40011,3.5682
14.50003,0.6719
14.60019,-1.0273
14.70116,-1.2025
14.79968,-1.1723
14.89991,0.2396
14.99972,5.1281
15.10154,7.4953
15.19969,5.5087
15.30002,1.7729
15.40089,-1.0505
15.50055,-0.5259
15.59977,2.0885
15.70135,6.6581
15.80136,8.2298
15.9018,4.4114
16.00159,2.8259
16.10144,0.9551
16.20162,0.8417
16.29972,0.3045
16.39989,2.0963
16.49979,2.7235
16.60178,1.145
16.70161,1.435
16.80079,1.2222
16.90048,0.4509
16.9997,2.1186
17.10074,3.5084
17.20037,4.8551
17.29973,1.7622
17.40078,2.0896
17.50146,1.6485
17.59989,0.2974
17.70159,0.8859
17.7999,0.2793
17.90145,3.9563
18.0016,4.8639
18.1016,4.3039
18.20153,3.3352
18.30059,-1.0098
18.40153,-1.3257
18.50173,-1.1843
18.60128,-1.0512
18.69986,-0.7816
18.80161,-1.5691
18.90015,-1.7011
18.99995,-1.4608
19.09975,-1.1587
19.19976,-0.5439
19.30082,13.1565
19.39986,3.3967
19.50044,1.7542
19.60175,1.1019
19.7008,1.0433
19.80091,1.8448
19.90051,-0.4782
20.00032,1.4824
20.10001,8.8086
20.19977,6.2641
20.30086,5.7009
20.40083,2.1852
20.50165,0.6811
20.60088,4.0953
20.70057,4.5494
20.80019,10.6294
20.90097,9.1676
21.00063,7.6325
21.10042,4.7618
21.19973,5.1406
21.29987,8.8796
21.40137,8.6297
21.50164,7.5186
21.60155,2.403
21.70164,0.2356
21.79992,-1.2596
21.90055,1.3123
22.00064,2.0035
22.10129,4.3962
22.19984,-1.4714
22.30061,-1.4378
22.4012,-1.5724
22.49974,-1.5649
22.60152,-1.5423
22.70176,-1.5017
22.80161,-1.5289
22.90147,-1.4734
23.00161,-1.4955
23.10173,-1.5498
23.20165,-1.5612
23.29999,-1.3385
23.39975,-1.4833
23.49988,2.4744
23.6,3.9556
23.70049,4.6446
23.79972,3.2356
23.9,1.3191
24.00155,0.7413
24.09978,6.1393
24.19979,8.8356
24.30162,11.1103
24.4017,10.634
24.49977,5.4425
24.6017,2.6778
24.70096,1.7421
24.80195,5.9722
24.90071,9.439
25.00071,9.1605
25.10099,9.2883
25.20001,3.0458
25.29966,-0.7794
25.40043,-1.3643
25.50172,-1.1923
25.60065,-0.952
25.70081,1.2482
25.79985,6.0011
