time_s,measured_value
1e-05,0.4186
0.10161,0.4187
0.20163,0.4169
0.30049,0.4156
0.40062,0.4178
0.50152,0.4128
0.60093,0.4147
0.70104,0.4197
0.80083,0.4127
0.90068,0.4161
1.00078,0.4175
1.10089,0.4133
1.20006,0.414
1.30062,0.4149
1.40069,0.4208
1.50094,0.4174
1.60169,0.4169
1.70052,0.4128
1.80003,0.4176
1.90068,0.4151
2.00085,0.4169
2.10083,0.413
2.20032,0.423
2.30093,0.4211
2.40061,0.4183
2.50107,0.4189
2.59999,0.4146
2.70142,0.4138
2.80123,0.4191
2.90032,0.4109
2.99998,0.4159
3.10017,0.4162
3.2007,0.4104
3.30194,0.4078
3.40195,0.4138
3.50192,0.4131
3.60075,0.4097
3.7015,0.4131
3.80145,0.4085
3.90101,0.408
4.00174,0.4152
4.10076,0.4126
4.20013,0.4124
4.30176,0.4113
4.40071,0.4077
4.50125,0.4088
4.60014,0.4123
4.70176,0.4084
4.80189,0.4115
4.90015,0.4073
5.00123,0.4105
5.10017,0.4063
5.20068,0.4019
5.30042,0.4093
5.40018,0.4048
5.50074,0.408
5.60073,0.4032
5.70166,0.4052
5.80103,0.4035
5.90037,0.4085
6.00032,0.4078
6.10073,0.4062
6.20038,0.4034
6.30016,0.4067
6.40012,0.4052
6.50004,0.4007
6.60029,0.2036
6.70088,0.2075
6.80012,0.2115
6.90038,0.2086
7.00108,0.2082
7.10017,0.2109
7.20193,0.2032
7.30154,0.1975
7.4004,0.2075
7.50155,0.2
7.60097,0.2036
7.70127,0.2014
7.80039,0.2036
7.90178,0.2017
8.0016,0.1994
8.10034,0.2028
8.19997,0.2006
8.30097,0.1988
8.40129,0.2045
8.50106,0.2061
8.60094,0.2017
8.70047,0.2052
8.80152,0.2035
8.90123,0.201
9.00159,0.2032
9.10017,0.1995
9.20068,0.2003
9.30165,0.2104
9.40157,0.2035
9.50057,0.2078
9.60031,0.2068
9.70085,0.1982
9.80015,0.2001
9.90129,0.2034
10.00082,0.1916
10.10064,0.1886
10.20112,0.1955
10.30123,0.2019
10.40151,0.2135
10.50135,0.214
10.60188,0.2064
10.70133,0.2094
10.80058,0.1999
10.90162,0.1959
11.00181,0.2023
11.10175,0.1926
11.20156,0.1544
11.30158,0.1909
11.40162,0.1812
11.50054,0.1774
11.60024,0.1972
11.7015,0.1575
11.80046,0.1832
11.90077,0.1614
12.00061,0.165
12.10065,0.1474
12.20068,0.1549
12.30149,0.1607
12.40159,0.1615
12.50088,0.1599
12.6014,0.1642
12.70049,0.1714
12.80032,0.1637
12.90093,0.1649
13.00131,0.1623
13.10118,0.1621
13.20152,0.156
13.30177,0.1626
13.40131,0.1669
13.5012,0.1629
13.60186,0.165
13.70182,0.1722
13.80114,0.1628
13.90032,0.1592
14.00072,0.1562
14.10144,0.1623
14.20185,0.1659
14.30092,0.1638
14.40098,0.1593
14.5002,0.1605
14.60125,0.1491
14.70019,0.1656
14.8006,0.1608
14.90161,0.1618
15.00191,0.1528
15.10075,0.1593
15.20009,0.1607
15.30082,0.1691
15.40029,0.1704
15.50159,0.1604
15.60149,0.1675
15.70075,0.1613
15.80142,0.1565
15.90049,0.1645
16.00149,0.1648
16.1002,0.1661
16.20074,0.1708
16.30196,0.1666
16.40134,0.1709
16.49999,0.168
16.60156,0.166
16.70063,0.1671
16.80093,0.1625
16.90036,0.1635
17.00187,0.1697
17.10106,0.1605
17.20081,0.1681
17.30034,0.1634
17.40034,0.1671
17.50003,0.1626
17.60094,0.1606
17.7011,0.1539
17.80083,0.1602
17.90036,0.1621
18.00168,0.1546
18.10173,0.1708
18.20069,0.1627
18.30149,0.1643
18.40064,0.1632
18.5011,0.1662
18.6019,0.1645
18.70017,0.1618
18.80102,0.1645
18.90011,0.1611
19.00061,0.1617
19.10047,0.1624
19.20107,0.1587
19.3014,0.1609
19.40101,0.1607
19.50032,0.1544
19.60097,0.1682
19.70135,0.1605
19.80021,0.159
19.90004,0.1555
20.00178,0.1571
20.10103,0.1574
20.20021,0.164
20.30138,0.1651
20.40117,0.1586
20.50078,0.1542
20.60117,0.1582
20.70145,0.1594
20.80118,0.1665
20.89997,0.1632
21.00065,0.1665
21.10102,0.1703
21.20164,0.1511
21.30186,0.1562
21.40136,0.1515
21.50169,0.1536
21.60045,0.1519
21.70009,0.1561
21.80023,0.1471
21.90103,0.1498
22.00074,0.1519
22.10154,0.1515
22.20008,0.1524
22.30019,0.1579
22.40118,0.1603
22.50176,0.1649
22.6007,0.1616
22.70043,0.1633
22.80065,0.1629
22.90021,0.1532
23.00278,0.1556
23.1027,0.1622
23.20119,0.1636
23.30084,0.171
23.40005,0.1605
23.50107,0.1442
23.60059,0.1496
23.70006,0.1542
23.80008,0.1609
23.90125,0.1716
24.0016,0.1499
24.10069,0.1631
24.20115,0.1649
24.30034,0.1528
24.40058,0.1495
24.5009,0.1569
24.60018,0.1651
24.70059,0.1567
24.80186,0.1589
24.90075,0.1599
25.00105,0.1661
25.10169,0.1617
25.20191,0.1603
25.30082,0.1575
25.40026,0.1671
25.50157,0.1578
25.60085,0.1606
25.70144,0.1547
25.80066,0.1549
25.901,0.1569
26.00066,0.1593
26.10054,0.1602
26.2003,0.1611
26.30042,0.1621
26.40013,0.1641
26.50014,0.1638
26.60191,0.1609
26.70171,0.1649
26.80063,0.1618
26.90117,0.1623
27.00078,0.1579
27.09999,0.1654
27.20157,0.1638
27.30013,0.161
27.40078,0.1628
27.50028,0.1611
27.60062,0.1636
27.7011,0.1608
27.80003,0.1561
27.90028,0.1601
28.00088,0.1572
28.10017,0.1592
28.20127,0.1558
28.30141,0.1578
28.40079,0.1561
28.50124,0.1582
28.60108,0.1523
28.70181,0.1559
28.80002,0.1557
28.90142,0.1584
29.00022,0.1513
29.10013,0.1533
29.20173,0.1606
29.29999,0.1534
29.40059,0.154
29.50177,0.1587
29.6007,0.1569
29.70044,0.1457
29.80047,0.1506
29.90113,0.1536
30.00018,0.1523
30.10045,0.1556
30.20168,0.1547
30.30095,0.155
30.4001,0.1518
30.50113,0.1572
30.60084,0.1552
30.70116,0.152
30.80151,0.1554
30.90058,0.1505
31.00154,0.1578
31.10165,0.1551
31.20124,0.1577
31.30045,0.1595
31.40088,0.1599
31.50154,0.1621
31.60124,0.1558
31.70108,0.1641
31.80168,0.1613
31.90037,0.1606
32.00152,0.1637
32.1018,0.1608
32.20099,0.1608
32.30009,0.1639
32.40125,0.164
32.50055,0.1666
32.60047,0.1654
32.70013,0.1587
32.79993,0.1677
32.90065,0.1681
33.00061,0.1726
33.10003,0.1781
33.20037,0.185
33.30046,0.1825
33.40036,0.1793
33.50123,0.1839
33.60111,0.187
33.70052,0.1822
33.80107,0.1863
33.9009,0.1905
34.00147,0.1904
34.10059,0.1922
34.20071,0.1939
34.30069,0.1952
34.40107,0.1974
34.50177,0.2002
34.60123,0.1925
34.70048,0.1971
34.79997,0.1957
34.9012,0.1933
35.00111,0.2024
35.10063,0.1949
35.20165,0.1699
35.30146,0.1481
35.40159,0.1499
35.50179,0.1491
35.6016,0.141
35.70155,0.1457
35.80099,0.1488
35.90026,0.142
36.00174,0.1414
36.10108,0.1383
36.20144,0.1392
36.30051,0.1413
36.40169,0.1296
36.50049,0.1364
36.60126,0.1367
36.7007,0.1743
36.79995,0.1465
36.89996,0.1333
36.99999,0.1373
37.10159,0.1427
37.20155,0.138
37.30018,0.1381
37.40022,0.1372
37.50116,0.1418
37.60028,0.1401
37.70127,0.1446
37.80132,0.1407
37.90094,0.1446
37.99999,0.1444
38.10036,0.1431
38.20095,0.1407
38.30038,0.1401
38.40119,0.1383
38.50106,0.1337
38.60113,0.1365
38.70136,0.1394
38.80141,0.1367
38.90022,0.138
39.00014,0.1369
39.10109,0.1371
39.20162,0.1401
39.30013,0.1404
39.40012,0.1382
39.50079,0.1338
39.60033,0.1347
39.7001,0.1334
39.80082,0.1371
39.90099,0.1438
40.00134,0.1469
40.1014,0.1476
40.20052,0.1441
40.30173,0.1423
40.40179,0.1419
40.50018,0.1385
40.60004,0.1413
40.70045,0.1427
40.80176,0.1465
40.90104,0.1447
41.00082,0.1481
41.10109,0.1474
41.20007,0.133
41.30087,0.119
41.40131,0.1218
41.50035,0.1146
41.60117,0.1263
41.70188,0.1366
41.80157,0.1206
41.90088,0.113
42.00066,0.1048
42.10051,0.1075
42.20115,0.1202
42.30056,0.1087
42.40059,0.0996
42.50081,0.2311
42.60292,0.402
42.70177,0.3381
42.80011,0.0918
42.90183,0.1078
43.00059,0.1277
43.10043,0.1262
43.20132,0.1322
43.30069,0.1168
43.40131,0.1032
43.50043,0.116
43.60132,0.1264
43.70078,0.1367
43.80033,0.131
43.90068,0.1335
44.00033,0.1383
44.10097,0.1471
44.20056,0.15
44.30112,0.149
44.40118,0.1369
44.49993,0.1302
44.60177,0.1209
44.70111,0.1355
44.80016,0.1565
44.90088,0.2653
45.00172,0.1356
45.10159,0.1441
45.20091,0.1483
45.30197,0.1915
45.40125,0.18
45.50105,0.1747
45.60092,0.2196
45.70106,3.5977
45.80119,4.3254
45.901,6.0746
46.00076,6.7694
46.10069,7.585
46.20066,8.5522
46.30098,8.8804
46.40096,10.734
46.50095,11.3738
46.60035,12.9347
46.70071,13.2267
46.80008,14.1172
46.9011,14.4117
47.00034,16.139
47.10017,15.4604
47.2009,17.3379
47.3008,20.0482
47.40134,19.0463
47.50026,5.8724
47.60027,2.6051
47.70064,2.5484
47.80019,3.7805
47.90088,3.8656
48.00071,3.5869
48.10117,3.4608
48.20045,2.9807
48.30063,2.7813
48.40067,2.8912
48.50011,3.0827
48.60033,2.8627
48.70162,2.3391
48.80159,1.9874
48.90193,2.2431
49.00191,1.34
49.10179,1.1295
49.20123,1.7066
49.30115,0.8178
49.40199,1.695
49.50106,1.6615
49.60051,2.449
49.70139,3.4961
49.80088,4.4441
49.9013,4.9838
50.00029,5.1179
50.10152,5.3356
50.20146,4.7213
50.30005,4.5445
50.4,4.8319
50.50017,4.7453
50.60011,2.1347
50.70132,2.0095
50.80015,2.4
50.90083,3.3071
51.00082,3.158
51.10084,5.0659
51.20016,6.4216
51.30158,4.8013
51.40036,1.5396
51.50075,0.1777
51.60027,2.2694
51.70141,1.6976
51.80154,0.7216
51.90012,1.8216
52.0015,2.6189
52.10076,1.5905
