time_s,measured_value
0,0.1053
0.10104,-0.0164
0.20112,0.1506
0.30006,0.3632
0.40045,0.2433
0.50052,-0.6368
0.60029,0.1352
0.69969,-0.0165
0.80143,-0.3962
0.90106,0.0406
1.00081,0.1997
1.10004,0.2514
1.1998,0.3156
1.30121,0.2466
1.40112,0.4364
1.50003,0.1882
1.6001,0.0473
1.69979,0.0144
1.80151,-0.0363
1.90157,0.1489
1.99973,0.234
2.1007,0.359
2.20134,1.3447
2.30108,4.5318
2.40152,5.7063
2.50127,5.7344
2.59998,12.8088
2.69993,17.8142
2.80018,19.2179
2.90014,20.484
2.99982,21.4843
3.09988,8.4294
3.20122,0.0656
3.30128,-0.0129
3.39968,-0.0652
3.49983,-0.0161
3.6012,0.004
3.70113,-0.1564
3.80013,-0.0078
3.90142,-0.0137
4.00133,-0.0086
4.10132,-0.0053
4.20085,-0.1123
4.30121,-0.0671
4.40148,-0.0281
4.49974,0.1082
4.60207,-0.6736
4.70027,-2.3211
4.79987,-3.1659
4.89999,-3.2925
5.00137,-0.3056
5.09985,-0.2266
5.20123,0.4866
5.30158,0.2936
5.40132,0.3639
5.50004,-0.2521
5.59958,-0.2879
5.70121,-0.0589
5.80012,0.0172
5.90126,0.286
6.00107,-0.8642
6.10131,0.6351
6.20105,-1.1633
6.30136,-0.5247
6.39973,0.2758
6.50009,-0.6694
6.59962,-0.5945
6.6999,0.7657
6.80137,0.7869
6.9004,0.8334
7.00009,-0.0536
7.1003,-0.0328
7.20134,0.1767
7.30118,1.4015
7.40103,0.0344
7.50116,0.0725
7.60007,0.3971
7.70148,0.0412
7.80116,0.0639
7.90102,0.0106
8.00148,0.5874
8.10128,0.0074
8.20138,-0.1205
8.30025,-0.0098
8.40155,0.1473
8.5013,0.1033
8.60022,0.015
8.70014,0.0621
8.79966,0.0409
8.90138,0.0052
9.00133,-0.0005
9.09987,0.0517
9.20114,0.0163
9.30126,0.0564
9.3999,3.3895
9.49954,4.0121
9.60126,8.2059
9.70024,12.5703
9.80141,12.0609
9.89979,7.1683
10.00052,0.3628
10.10131,0.0146
10.19972,0.1015
10.30124,0.0148
10.39976,-0.0132
10.50103,0.0537
10.59975,0.0302
10.70129,0.0625
10.79972,0.0491
10.89994,0.0485
11.00127,-0.0195
11.09978,0.7722
11.20152,2.3054
11.30136,5.5898
11.40109,11.1263
11.50118,15.4633
11.60087,11.208
11.70023,0.3259
11.80126,0.4196
11.90141,3.9041
11.99988,7.6179
12.10127,16.0598
12.20111,18.178
12.30127,21.3156
12.40001,15.2492
12.49988,14.048
12.59976,9.2341
12.7012,15.2157
12.80126,28.0349
12.90143,21.3689
13.00026,12.3328
13.10006,11.4072
13.20139,24.3954
13.30154,33.2564
13.40017,24.3128
13.49981,17.9619
13.59958,14.6416
13.70119,28.8362
13.80105,35.5439
13.90053,26.175
14.00148,20.234
14.10002,20.9792
14.19996,41.2737
14.30152,36.5812
14.39993,27.8807
14.50142,20.9781
14.60151,36.1026
14.69959,34.0478
14.80008,25.8982
14.89963,20.6072
15.00023,16.9447
15.10107,37.9141
15.20108,28.6632
15.30147,22.9476
15.40135,18.0753
15.50115,21.6672
15.60141,38.8118
15.69998,25.5678
15.8,18.4576
15.90125,11.8885
15.99978,15.4163
16.09979,40.5739
16.19989,30.7603
16.30052,26.8874
16.4005,19.0328
16.50153,13.1083
16.60032,21.6443
16.70004,35.4777
16.80151,24.8514
16.90008,17.4468
17.00014,6.0884
17.1011,2.678
17.19967,19.444
17.30124,20.8747
17.39982,7.6241
17.50005,1.5483
17.60014,10.7903
17.70132,29.1204
17.80004,24.6614
17.89968,11.0631
18.00128,5.4865
18.10132,13.8935
18.20139,24.7588
18.29993,23.5526
18.4015,13.3771
18.50023,5.4614
18.60112,18.344
18.70141,27.9704
18.80009,18.2518
18.90123,8.4408
18.99989,5.2332
19.1015,10.3691
19.20119,21.6302
19.3011,10.8346
19.40021,8.5131
19.50135,5.2375
19.59998,3.531
19.70103,13.5731
19.8013,16.0058
19.90111,10.5449
19.9998,3.8088
20.10151,-0.3489
20.20133,-0.1845
20.3006,0.0716
20.40108,0.1476
20.50072,0.0008
20.601,0.0099
20.69962,0.1782
20.80033,3.9131
20.90131,4.7426
21.00141,1.7505
21.09958,0.596
21.20128,-0.1073
21.30132,10.0856
21.40042,9.5281
21.50139,2.5061
21.5997,-0.0934
21.69955,-0.254
21.79985,-0.0796
21.90035,2.7942
22.00147,1.6665
22.10136,-0.0004
22.19969,-0.0763
22.29956,-0.2794
22.40129,2.9578
22.49954,1.8071
22.59979,0.3867
22.70124,-0.019
22.80151,-0.1829
22.90144,-0.5384
23.00117,6.166
23.09982,5.92
23.20107,0.8718
23.29957,-0.2429
23.39959,-0.2771
23.50051,-0.2668
23.60047,0.1945
23.69988,0.3524
23.80153,1.4664
23.90055,-0.1259
24.0005,-0.2915
24.09955,-0.4035
24.19983,-0.1559
24.30081,2.3541
24.39984,1.9792
24.50114,0.4045
24.59976,-0.1312
24.70022,-0.2111
24.80152,-0.1834
24.90149,6.8151
24.99991,7.1434
25.09991,2.4659
25.20173,0.321
25.30013,-0.4318
25.40056,1.9913
25.50009,8.1085
25.59998,8.2089
25.69994,2.8628
25.79982,0.0323
25.89994,-0.5189
25.99995,3.4311
26.10149,3.3433
26.19993,4.8007
26.30144,2.1346
26.39982,-0.473
26.49962,-0.4014
26.60089,7.46
26.70111,6.5306
26.80051,3.1278
26.90006,0.0179
26.99967,-0.6082
27.10152,3.7905
27.19986,4.7541
27.29968,5.2326
27.39976,1.6907
27.4996,-0.3048
27.59992,1.7504
27.69987,8.125
27.79978,7.9521
27.89964,2.6493
27.99985,-0.4019
28.10014,-0.6863
28.20052,5.7332
28.29979,5.9729
28.39981,4.335
28.49998,0.0632
28.5996,-0.5908
28.69976,2.6761
28.80167,4.8029
28.89987,4.7213
28.99961,0.5385
29.10109,-0.4207
29.19989,-0.5457
29.30144,3.0986
29.40157,2.5403
29.49961,0.6949
29.59972,-0.3346
29.69993,-0.5584
29.80005,3.3304
29.90149,6.9689
29.99969,3.1168
30.10138,-0.3877
30.20153,-0.6425
30.30042,4.53
30.40108,6.0149
30.49984,2.1951
30.60131,-0.2263
30.70137,-0.501
30.79983,1.5106
30.89991,5.6919
30.99982,3.1484
31.10002,0.2185
31.20151,-0.4219
31.30139,7.5573
31.40146,10.539
31.49997,6.8746
31.60153,0.1018
31.70003,-0.4705
31.80158,1.2783
31.90023,7.4489
31.99969,7.0996
32.1016,1.8124
32.20134,-0.4299
32.2999,0.1788
32.40002,10.7296
32.4999,7.7367
32.59991,1.1004
32.70002,-0.4755
32.80116,-0.7536
32.90018,4.971
33.00006,6.8758
33.10016,3.04
33.19986,-0.2382
33.30138,-0.5118
33.4014,4.0155
33.5014,10.4045
33.5998,8.0708
33.69987,2.9008
33.80033,2.2788
33.90112,9.4619
33.99977,14.5936
34.09982,11.1631
34.20052,3.8639
34.2998,2.0781
34.39975,8.3482
34.49976,14.3958
34.59994,12.2286
34.70018,4.2396
34.8015,-0.1463
34.90014,1.4773
34.99981,10.6262
35.10018,9.8986
35.19995,2.7317
35.29993,-0.4365
35.39993,8.0425
35.50029,12.4076
35.60007,8.5409
35.70008,3.3308
35.80145,0.8307
35.90133,4.4498
36.00077,9.6377
36.09983,9.597
36.20156,2.0998
36.29986,-0.6263
36.40001,2.5914
36.50021,8.8667
36.59985,5.8502
36.7003,1.1833
36.80003,-0.3211
36.90133,0.3301
37.00108,5.0627
37.09998,2.3474
37.20054,-0.2222
37.30125,-0.4371
37.40032,4.8884
37.50128,3.7849
37.60026,0.9229
37.70015,-0.2465
37.80118,-0.4312
37.90128,3.9639
38.00002,5.21
38.10005,2.4194
38.20019,-0.059
38.30054,-0.2765
38.40123,-0.2093
38.49992,1.8068
38.60085,0.403
38.70121,0.0222
38.80006,-0.1839
38.90005,1.1724
39.00151,2.4001
39.1002,0.4707
39.20009,0.1142
39.30035,-0.1585
39.40068,-0.1861
39.50047,1.0581
39.60004,0.465
39.70128,0.17
39.80057,-0.2597
39.90113,0.6053
40.00109,2.2021
40.10135,0.3306
40.2011,0.0266
40.30093,-0.3968
40.40022,0.647
40.50118,0.4988
40.60112,0.1238
40.70028,-0.2735
40.80008,-0.193
40.90108,0.2995
41.00067,0.2196
41.10121,-0.2179
41.20033,-0.3105
41.30108,0.1938
41.40004,0.1596
41.50113,-0.2317
41.60003,-0.3581
41.70116,0.5819
41.80145,0.1027
41.90013,-0.1665
42.00004,-0.4409
42.10033,-0.2409
42.20097,0.1316
42.30003,0.0776
42.40023,-0.2942
42.50172,-0.381
42.60043,0.1855
42.70032,0.2431
42.80133,-0.1939
42.9003,-0.4599
43.00146,0.3814
43.10045,0.0772
43.20024,-0.2529
43.30008,-0.4347
43.40038,1.2756
43.50011,0.4341
43.60007,0.0718
43.70044,-0.36
43.80021,-0.5881
43.90029,0.3472
44.0002,0.1898
44.10051,-0.3209
44.20034,-0.5772
44.30138,-0.4281
44.39983,-0.1369
44.50021,-0.0622
44.60019,-0.4057
44.70026,-0.3715
44.80017,-0.0892
44.90048,0.0459
45.00144,-0.2702
45.10048,-0.3159
45.20148,0.0959
45.30116,0.0286
45.40039,-0.3503
45.50024,-0.4411
45.60048,0.0738
45.70024,-0.1981
45.80149,-0.5052
45.90025,2.2524
46.00014,1.459
46.09957,0.1192
46.20041,-0.3681
46.30046,-0.5284
46.40016,0.3969
46.49977,0.3062
46.60062,-0.1227
46.70155,-0.296
46.8011,1.5952
46.90114,2.3869
47.00114,0.5306
47.10113,-0.2601
47.20024,-0.4658
47.30106,0.4724
47.40078,0.5796
47.5014,-0.0951
47.59964,-0.3118
47.69977,-0.2484
47.79965,-0.1376
47.89999,0.3336
48.00022,-0.1851
48.10052,0.4199
48.20143,2.2012
48.30127,0.7689
48.40111,-0.1244
48.50108,-0.2954
48.60117,-0.336
48.69962,0.9137
48.79986,0.1759
48.90128,-0.219
48.99972,0.9871
49.0997,4.2929
49.19984,2.2209
49.29995,-0.1165
49.40133,-0.3935
49.49983,-0.5423
49.60127,1.3688
49.70149,0.1693
49.80034,-0.1736
49.90137,-0.4885
50.00108,0.7868
50.10123,2.4941
50.20119,0.3714
50.30111,-0.0842
50.40133,-0.3349
50.49999,0.8331
50.60129,1.9325
50.70008,0.4025
50.80149,0.0688
50.89957,-0.0325
50.99953,0.5624
51.09977,0.6912
51.19956,0.569
51.30119,0.1143
51.40143,0.41
51.50104,0.9831
51.60134,0.7499
51.70133,0.3991
51.80006,0.1691
51.90131,0.277
52.00142,0.1168
52.10151,0.0314
52.20108,-0.4471
52.30135,-0.5026
52.40129,-0.272
52.49999,-0.0033
52.60025,-0.0581
52.70138,-0.2138
52.79992,-0.057
52.90134,-0.1014
53.00146,0.4762
53.10109,0.0803
53.20141,-0.2351
53.30011,0.3125
53.40113,0.3264
53.50134,0.3895
53.59971,0.0631
53.70029,-0.4834
53.79977,0.2439
53.90146,0.3957
53.99979,0.1553
54.10012,-0.2389
54.20148,-0.4508
54.29958,0.2862
54.40148,0.4251
54.5014,0.1307
54.60127,-0.1773
54.70026,-0.2008
54.80127,0.3502
54.90137,0.3861
55.00109,-0.1414
55.10017,-0.5784
55.20148,-0.0896
55.3012,0.4736
55.40135,0.1727
55.49995,-0.4089
55.60107,-0.6702
55.69987,0.1305
55.80141,0.3413
55.90103,-0.0734
56.00045,-0.5272
56.10147,-0.3104
56.20143,0.152
56.29956,0.1382
56.40117,-0.4176
56.49994,-0.7705
56.60124,0.141
56.70116,0.244
56.80143,-0.1508
56.90123,-0.4467
57.00037,-0.5592
57.09967,0.0869
57.20103,0.1803
57.30119,-0.3512
57.40036,-0.6238
57.5013,-0.1036
57.60117,0.1855
57.70143,-0.0909
57.79955,-0.6609
57.9,-0.5051
58.00129,-0.0532
58.10116,0.192
58.20125,-0.4245
58.30017,-0.7964
58.40139,0.0516
58.50124,0.3661
58.59997,-0.1831
58.69959,-0.5785
58.80103,-0.123
58.90043,0.445
59.00143,0.4714
59.10136,0.0289
59.20014,0.1709
59.30138,0.1913
59.40125,0.547
59.49955,0.2843
59.60008,0.113
59.7005,0.312
59.80128,0.1137
59.90129,0.216
60.00117,-0.2478
60.1004,-0.4003
60.20013,-0.0236
60.30138,-0.1486
60.40136,-0.5904
60.50136,-0.7936
60.60134,-0.6678
60.70045,-0.3676
60.80152,-0.152
60.90147,-0.1057
61.00017,-0.0911
61.10111,-0.7883
61.19999,-1.1211
61.30127,-1.3821
61.40014,-0.2525
61.50111,-0.2181
61.60132,0.7675
61.70144,0.6694
61.80017,-0.141
61.90147,0.3784
62.00161,1.1064
62.10113,2.209
62.20132,1.8247
62.30024,2.8641
62.40146,2.4749
62.50015,2.3983
62.5996,2.9801
62.70122,1.837
62.79972,0.5933
62.90104,0.3926
63.00003,0.6371
63.09974,1.6637
63.19995,1.3345
63.30159,3.8798
63.40007,5.3925
63.50134,5.0511
63.60138,4.8416
63.70115,5.1036
63.8004,5.8246
63.89958,6.4971
64.0012,6.2363
64.10106,7.4603
64.20084,8.2349
64.29977,7.6088
64.39959,8.5143
64.50143,8.2502
64.60052,7.5931
64.69991,9.0376
64.80006,7.3652
64.89984,6.8982
65.00015,7.0736
65.10025,6.9759
65.20133,6.8668
65.30116,7.2168
65.39995,5.7451
65.50122,6.3685
65.60018,8.2414
65.69982,6.8333
65.80039,7.2509
65.90025,7.3677
66.00039,6.411
66.10134,6.8193
66.20103,7.2705
66.30027,6.4691
66.40146,4.1772
66.49983,0.9335
66.60112,1.5603
66.69997,0.5254
66.79966,7.3298
66.90033,9.1984
67.00029,12.1616
67.09962,12.2101
67.20146,25.6244
67.30151,27.5433
67.40018,22.9019
67.50117,14.0037
67.60124,15.2543
67.69971,29.7309
67.8002,30.6162
67.90054,24.0392
68.00112,16.2878
68.10121,20.2072
68.20129,29.0095
68.29973,24.5281
68.40131,16.4478
68.50001,9.2729
68.60126,15.7205
68.70129,16.9364
68.80029,15.8051
68.90143,11.2274
69.00122,15.0186
69.10116,28.0623
69.20168,23.3466
69.30038,18.0491
69.40028,13.5879
69.50127,16.1156
69.60136,22.326
69.70647,19.0229
69.79961,10.2618
69.9005,7.4887
70.00149,11.5584
70.10122,12.7077
70.20119,10.654
70.30041,8.2697
70.40105,13.1213
70.50128,19.4619
70.60114,17.3063
70.70036,13.2517
70.80129,8.8588
70.90006,14.8299
71.00027,15.9441
71.10009,16.1477
71.19978,10.2101
71.30111,9.7355
71.40031,17.4319
71.50142,16.986
71.59978,12.3944
71.70135,8.7493
71.80141,10.6363
71.90013,12.0442
