time_s,measured_value
0,0.7861
0.09956,0.7963
0.20101,0.815
0.30059,0.804
0.39998,0.8104
0.49971,0.8079
0.60087,0.7893
0.70038,0.8058
0.79969,0.791
0.9012,0.7946
1.00077,0.8212
1.09961,0.8304
1.2008,0.8281
1.29952,0.8845
1.40068,0.7297
1.49984,0.6538
1.60066,0.6343
1.70084,0.6611
1.79999,0.6574
1.90108,0.661
2.00071,0.673
2.10097,0.6676
2.19989,0.6763
2.2994,0.6747
2.40023,0.6595
2.50002,0.6719
2.60062,0.673
2.70038,0.6716
2.8011,0.6746
2.90042,0.6799
3.00058,0.6662
3.10084,0.6872
3.20069,0.6734
3.30078,0.663
3.39993,0.6777
3.5001,0.6748
3.60003,0.6735
3.7009,0.6942
3.80103,0.6778
3.90129,0.6688
4.00008,0.6797
4.10057,0.6857
4.20106,0.6647
4.30069,0.6831
4.40064,0.6744
4.50116,0.6773
4.60084,0.6694
4.69991,0.6773
4.7999,0.505
4.90108,0.5041
5.0001,0.5087
5.10087,0.5405
5.20128,0.5424
5.30131,0.5272
5.40123,0.5142
5.50101,0.5268
5.60046,0.5523
5.70103,0.5267
5.80176,0.523
5.90056,0.5006
6.00083,0.4912
6.10083,0.469
6.2001,0.4747
6.30128,0.5449
6.40088,0.5016
6.49948,0.4849
6.60046,0.6331
6.70081,0.5883
6.80078,0.6303
6.90074,0.573
7.00143,0.4835
7.10071,0.4893
7.20119,0.4778
7.30081,0.4924
7.401,0.6797
7.50134,0.6526
7.6009,0.8597
7.70039,1.1686
7.80009,1.4117
7.90096,2.1818
8.00122,2.7082
8.10057,2.3472
8.20124,2.268
8.30021,2.1927
8.4,2.1747
8.50082,2.1832
8.59958,2.012
8.70057,1.745
8.80136,1.8013
8.89977,1.8435
9.0007,1.8124
9.10097,1.8014
9.20092,1.8108
9.30106,1.5231
9.40093,1.4703
9.4994,1.4337
9.6005,1.4215
9.70113,1.2316
9.80062,1.5197
9.90112,1.9168
9.99976,1.7414
10.10097,0.5229
10.20065,0.5232
10.30075,0.5863
10.40068,0.5267
10.50117,0.5548
10.59988,0.5884
10.70104,0.5962
10.80063,0.6121
10.9004,0.5077
11.00077,0.6906
11.10086,0.7035
11.19946,0.6129
11.30067,0.4936
11.40052,0.9467
11.49992,2.9846
11.60076,3.7578
11.70102,8.4634
11.80144,12.6798
11.90071,13.4592
12.00084,15.9573
12.10083,17.021
12.20091,12.6868
12.29946,5.4649
12.40055,2.6114
12.50008,2.1323
12.60076,0.7735
12.69996,4.5285
12.80061,1.5143
12.90105,3.5297
13.00096,4.2761
13.10011,4.9901
13.19999,6.2201
13.29977,6.7431
13.40061,4.6718
13.49988,1.7293
13.60077,0.8333
13.70067,1.3686
13.80079,1.8179
13.9007,1.6486
13.99966,3.0307
14.1009,4.7028
14.20002,4.3032
14.29965,3.5513
14.39941,4.3216
14.50108,2.6558
14.59975,1.9515
14.70075,1.9567
14.80058,1.7876
14.90105,3.0267
14.99975,9.1088
15.10016,22.3887
15.20066,26.0678
15.30101,19.9353
15.39976,17.1128
15.50054,20.8945
15.60062,33.2716
15.69977,38.1897
15.79992,27.6864
15.90118,22.3653
15.99998,27.0042
16.1012,38.3722
16.20073,33.3734
16.29987,27.0481
16.40108,27.4293
16.50089,40.6128
16.59997,47.7136
16.70102,33.4837
16.8005,24.672
16.90011,27.7884
17.0002,30.1282
17.10007,26.2645
17.19999,22.2418
17.30098,23.2079
17.40101,34.936
17.49989,36.7023
17.60069,27.4139
17.70087,20.7423
17.79981,23.7476
17.89947,32.4369
18.00075,30.7899
18.10043,22.8351
18.20006,23.0167
18.2997,30.1102
18.39998,30.8104
18.49986,23.8481
18.60106,18.2761
18.69996,24.0602
18.80079,28.4535
18.90129,21.3799
19.00123,14.119
19.1009,15.4179
19.19992,29.1905
19.30116,28.1456
19.40022,17.2739
19.49997,10.2666
19.59976,11.368
19.69946,18.5702
19.80066,19.827
19.90033,17.7272
19.99998,22.6253
20.09947,33.0133
20.19991,26.8673
20.29942,16.9303
20.40102,17.0839
20.50013,24.4254
20.60141,19.4548
20.70011,10.8652
20.80079,13.0487
20.90058,24.9059
21.00062,23.7223
21.10079,12.1511
21.19952,10.1335
21.30063,21.9337
21.39997,28.9923
21.50062,19.6628
21.59956,11.3308
21.70065,22.3546
21.80137,39.3786
21.89969,27.0882
22.00129,12.1949
22.10079,14.3624
22.19994,22.0181
22.30077,15.9963
22.39962,6.4816
22.49994,5.3733
22.60102,8.6961
