time_s,measured_value
0,0.3493
0.10115,0.3848
0.20117,0.3791
0.30074,0.3345
0.4013,0.4316
0.50086,0.3876
0.60018,0.4152
0.70125,0.3389
0.80039,0.296
0.8995,0.2552
1.00105,0.352
1.09953,0.2909
1.20011,0.4481
1.30122,0.1972
1.40037,-0.3169
1.50111,0.1491
1.6,0.3968
1.70055,0.2686
1.80087,0.2654
1.90141,0.2037
2.00053,0.1933
2.10082,0.1343
2.20088,1.1916
2.30094,7.5596
2.40051,8.1722
2.49971,0.609
2.60107,0.5577
2.70119,0.6168
2.80126,0.6587
2.90033,0.521
3.00119,0.6238
3.09975,0.6088
3.20098,0.6399
3.30056,0.5987
3.40065,0.553
3.49947,0.5819
3.6001,0.5405
3.70117,0.5715
3.80125,0.5419
3.90118,0.4948
4.00023,0.5125
4.10035,0.4549
4.2004,0.4691
4.30101,0.4726
4.40009,0.464
4.50023,0.4744
4.60076,0.4799
4.70034,0.5442
4.80086,0.5665
4.90097,2.02
5.00006,6.8115
5.1011,5.5156
5.20015,1.7409
5.30067,1.4652
5.40009,4.113
5.50122,8.7014
5.60029,5.6529
5.69973,1.3483
5.80134,1.0492
5.90106,1.6767
6.00112,2.0423
6.10021,0.9593
6.20059,0.8449
6.30133,0.8528
6.40109,0.8517
6.50117,0.7614
6.5997,0.8205
6.70075,1.5885
6.80136,0.2569
6.90092,0.5749
7.00003,0.4491
7.1006,0.37
7.20024,0.3921
7.30139,0.3408
7.39953,0.3599
7.50114,0.383
7.6007,0.7948
7.70128,0.5243
7.80081,1.2268
7.8998,2.1218
8.00049,1.9985
8.10055,1.0449
8.20007,0.8417
8.30063,0.8918
8.40016,0.9362
8.50056,1.1542
8.60122,1.438
8.70095,2.2762
8.79974,2.9224
8.90103,3.469
9.00012,4.4451
9.10134,6.206
9.19993,8.2495
9.29978,10.1973
9.40118,11.1639
9.50003,4.3581
9.60113,1.3315
9.70041,1.2838
9.80005,1.6355
9.90093,3.0665
10.00129,4.1853
10.09973,5.2873
