time_s,measured_value
0,2.938
0.10039,4.4443
0.19986,1.7452
0.30104,0.2931
0.40077,1.4424
0.50299,1.4903
0.59967,2.7392
0.70035,2.6114
0.79954,2.8464
0.90125,3.8173
0.99974,5.3152
1.10081,6.1033
1.20015,7.8866
1.30009,9.4485
1.39974,11.6293
1.49976,12.9609
1.60136,15.182
1.70053,11.6264
1.80018,4.0558
1.90086,1.4179
2.00116,1.0529
2.10124,1.086
2.19938,1.1687
2.30076,2.1757
2.40071,2.42
2.49968,0.9173
2.60062,2.6465
2.69956,1.1026
2.80075,1.3662
2.9,0.1903
3.0008,1.7741
3.10101,5.1137
3.19946,6.5302
3.29956,5.8832
3.39945,6.4915
3.50063,6.9097
3.59959,7.812
3.70114,5.9432
3.80131,4.7285
3.90076,4.491
4.00125,3.7975
4.10102,3.1862
4.20138,3.4358
4.30076,2.503
4.39952,2.5826
4.50072,2.7668
4.59949,2.4169
4.69948,2.7922
4.80056,2.8716
4.90109,3.3818
5.00126,4.4785
5.09971,4.9933
5.2008,4.6681
5.29963,4.6371
5.39999,3.8017
5.50067,2.6618
5.59939,1.7922
5.69958,0.2061
5.80138,1.6144
5.89983,3.6619
5.99941,1.4239
6.10085,1.9507
6.20105,0.9226
6.30023,1.6646
6.40139,2.2967
6.50095,2.8851
6.60037,3.1399
6.70114,4.2769
6.80082,6.1061
6.90011,9.9615
7.0011,14.4012
7.1002,25.5794
7.2011,34.9083
7.3008,30.9711
7.39962,27.8811
7.49947,24.0216
7.59943,32.5563
7.69973,48.6305
7.8013,48.964
7.90125,40.056
7.99962,30.3636
8.09966,34.229
8.20065,54.1635
8.30128,52.0844
8.40001,43.5149
8.50077,30.2525
8.59968,32.4331
8.69983,50.5345
8.80067,53.0338
8.89981,42.596
8.99967,30.4453
9.09957,27.1789
9.19973,41.5493
9.30035,52.0676
9.39952,43.3178
9.50117,32.6084
9.60014,24.788
9.7013,32.472
9.79961,42.9504
9.89965,35.1964
9.9998,26.1499
10.10035,23.8832
10.1998,42.3916
10.30122,54.2592
10.40039,46.2532
10.49978,31.4165
10.59942,26.9867
10.70068,40.0635
10.79944,54.9119
10.89981,46.4469
11.00052,29.4219
11.10013,24.894
11.20041,36.7549
11.30099,51.8159
11.40104,40.9227
11.49951,28.2444
11.59962,27.7124
11.7008,46.3567
11.8,47.2775
11.90073,35.5239
12.0006,24.232
12.10091,36.0363
12.20079,45.0868
12.29949,40.6238
12.40124,24.3696
12.50088,18.388
12.60004,37.2068
12.6995,44.5842
12.79959,34.5714
12.90121,21.7857
13.00009,21.5191
13.09945,40.5651
13.19954,48.6738
13.29961,42.8531
13.40073,21.9349
13.49956,19.5463
13.61482,37.4198
13.70899,38.7393
13.80447,26.6833
13.90011,18.7383
14.01104,25.0549
14.10587,40.8001
14.20072,33.0292
14.31203,16.4122
14.40768,16.3617
14.50402,38.1815
14.61505,38.1938
14.70963,19.2043
14.80496,14.6157
14.90188,26.3257
15.01557,34.0115
15.11155,29.2908
15.20652,19.1755
15.30139,23.0289
15.41255,40.6154
15.50767,36.4702
15.6028,22.9438
15.71507,19.6096
15.81203,39.0512
15.90786,39.0957
16.00346,29.9065
16.11427,22.3294
16.20918,34.6888
16.30386,44.0196
16.41504,30.2488
16.51064,18.1881
16.60612,33.7217
16.70142,38.3341
16.81281,25.1543
16.90816,16.0803
17.00348,31.9981
17.11536,41.2034
17.21235,28.878
17.30989,17.1239
17.40781,29.0457
17.50461,37.3878
17.61511,27.1838
17.71191,18.3282
17.80848,24.7141
17.9058,37.5112
18.00193,36.3634
18.11455,18.1748
18.20991,19.2119
18.30558,37.3568
18.40318,38.6782
18.51494,16.9832
18.60937,14.7076
18.70395,27.7027
18.81421,33.6096
18.91052,20.4164
19.00788,14.6764
19.10406,24.0518
19.20129,32.2901
19.31195,31.1049
19.40768,19.7658
19.50278,21.4123
19.61365,42.825
19.70882,38.4856
19.80513,23.9796
19.90185,18.2223
20.01556,36.153
20.11293,36.1355
20.20897,25.5215
20.30499,17.8681
20.40001,26.3434
20.50975,33.0837
20.60432,31.0653
20.7151,19.7086
20.81141,22.6874
20.90695,38.5187
21.00309,36.7469
21.11485,19.6372
21.20961,16.9439
21.3046,33.1366
21.39978,36.7875
21.51056,22.2117
21.60505,16.4895
21.70024,32.97
21.81122,37.6594
21.90662,32.1719
22.00292,23.4394
22.11497,36.0793
22.21221,43.609
22.3086,39.7972
22.4057,27.7437
22.50262,26.6195
22.61424,42.3822
22.70976,40.6026
22.80539,24.168
22.9022,20.908
22.99954,45.0616
23.10896,43.5591
23.20356,27.9086
23.31422,25.9126
23.40829,46.6392
23.50567,41.033
23.60256,30.3427
23.71404,25.0422
23.80851,42.4019
23.90347,41.5444
24.01435,26.8562
24.1091,24.438
24.20445,46.6717
24.29946,44.4474
24.41059,30.8463
24.50546,21.0195
24.60015,31.3682
24.71131,38.0832
24.80624,30.2156
24.90227,21.01
25.01319,29.9558
25.10905,37.2106
25.20416,29.7149
25.31477,16.5773
25.40948,26.6543
25.50575,39.5525
25.60099,37.3991
25.71189,23.1937
25.80865,21.8443
25.90358,38.3117
26.01413,31.5276
26.10864,13.9113
26.20483,13.3961
26.30098,33.6117
26.41297,37.5374
26.50749,28.3909
26.60272,16.937
26.71344,34.3418
26.80911,35.7403
26.90384,28.0646
27.01471,13.0038
27.10934,33.2714
27.20459,37.5367
27.29992,30.7988
27.41102,13.8136
27.50705,19.6603
27.60334,34.3075
27.70037,17.9498
27.81087,3.8485
27.90574,0.6446
28.00156,0.6143
28.11283,8.1748
28.20822,5.8934
28.30473,4.846
28.40057,18.0444
28.51152,25.09
28.60713,24.8291
28.70284,17.6105
28.81328,21.9469
28.90805,36.2346
29.00369,27.7935
29.10145,10.5565
29.21402,1.2354
29.31027,-0.0653
29.40614,-0.1114
29.50171,-0.1207
29.61297,-0.0827
29.70794,-0.0786
29.80364,-0.0689
29.91476,-0.0625
30.00933,-0.1508
30.10607,-0.1341
30.202,-0.1432
30.31317,0.0889
30.40811,1.1736
30.50323,0.2148
30.61398,0.4267
30.70832,0.3698
30.80387,0.5175
30.9002,0.8621
31.01432,1.6759
31.11237,3.1969
31.20877,3.1161
31.30497,0.64
31.40106,-0.0196
31.51366,0.7147
31.60903,0.682
31.70599,1.3606
31.80116,3.1261
31.91158,6.3591
32.00718,1.5626
32.10176,-0.4879
32.21323,-0.0668
32.30807,-0.1279
32.40304,1.34
32.51394,1.1178
32.60935,1.0219
32.70431,-0.049
32.81485,-0.0348
32.9109,-0.0979
33.00478,-0.0888
33.09978,-0.1426
33.21243,-0.0827
33.30691,0.1135
