time_s,measured_value
0.00997,-5.5785
0.01994,-5.5766
0.0299,-5.5662
0.03987,-5.5691
0.04984,-5.5826
0.05981,-5.5815
0.06977,-5.5792
0.07974,-5.5542
0.08971,-5.5645
0.09968,-5.5742
0.10965,-5.5862
0.11961,-5.5651
0.12957,-5.5494
0.1395,-5.5627
0.14943,-5.5783
0.15936,-5.5763
0.16929,-5.5596
0.17922,-5.5657
0.18915,-5.5917
0.19908,-5.5932
0.20901,-5.5613
0.21894,-5.5565
0.22888,-5.5578
0.23881,-5.5779
0.24874,-5.5806
0.25875,-5.5599
0.26876,-5.5524
0.27878,-5.5728
0.28879,-5.5817
0.2988,-5.5666
0.30881,-5.5653
0.31882,-5.563
0.32884,-5.5772
0.33885,-5.5822
0.34886,-5.5709
0.35887,-5.5655
0.36888,-5.5668
0.37888,-5.584
0.38884,-5.5746
0.39879,-5.5632
0.40874,-5.5685
0.4187,-5.578
0.42865,-5.5738
0.4386,-5.5669
0.44856,-5.5573
0.45851,-5.5733
0.46846,-5.5793
0.47842,-5.5767
0.48837,-5.5652
0.49832,-5.5518
0.50835,-5.568
0.51837,-5.5752
0.52839,-5.5663
0.53842,-5.5422
0.54844,-5.5613
0.55847,-5.5845
0.56849,-5.5784
0.57851,-5.5657
0.58854,-5.5547
0.59856,-5.5604
0.60858,-5.5755
0.61861,-5.5652
0.62866,-5.5505
0.63875,-5.5613
0.64883,-5.589
0.65892,-5.593
0.669,-5.5802
0.67909,-5.5643
0.68918,-5.5589
0.69926,-5.5645
0.70935,-5.5721
0.71943,-5.553
0.72952,-5.5467
0.7396,-5.5661
0.74969,-5.5822
0.75971,-5.5771
0.76971,-5.5643
0.77971,-5.5632
0.78971,-5.5749
0.79971,-5.5741
0.80971,-5.5606
0.81971,-5.5481
0.82971,-5.5528
0.83971,-5.5666
0.84971,-5.5731
0.85972,-5.5543
0.86972,-5.5461
0.8797,-5.5629
0.88965,-5.5723
0.8996,-5.5769
0.90956,-5.5591
0.91951,-5.5627
0.92947,-5.5771
0.93942,-5.5717
0.94937,-5.5548
0.95933,-5.5481
0.96928,-5.5649
0.97924,-5.5626
0.98919,-5.5611
0.99914,-5.5536
1.00919,-5.5646
1.01923,-5.5841
1.02928,-5.5765
1.03932,-5.563
1.04936,-5.5624
1.05941,-5.5729
1.06945,-5.5795
1.07949,-5.5717
1.08953,-5.5559
1.09958,-5.5514
1.10962,-5.5705
1.11966,-5.5712
1.12966,-5.5619
1.13962,-5.5541
1.14957,-5.5627
1.15952,-5.5726
1.16948,-5.5721
1.17943,-5.5538
1.18938,-5.5446
1.19934,-5.5689
1.20929,-5.5841
1.21924,-5.5707
1.2292,-5.5451
1.23915,-5.5516
1.2491,-5.5757
1.25921,-5.5854
1.26931,-5.5604
1.27941,-5.5482
1.28951,-5.5654
1.29961,-5.5804
1.30971,-5.5757
1.31981,-5.5529
1.32991,-5.5583
1.34001,-5.5719
1.35011,-5.5734
1.36021,-5.5657
1.37031,-5.5584
1.38034,-5.5645
1.39029,-5.5797
1.40024,-5.5744
1.4102,-5.5635
1.42015,-5.564
1.43011,-5.5673
1.44006,-5.5827
1.45002,-5.5687
1.45997,-5.5565
1.46992,-5.5597
1.47988,-5.5772
1.48983,-5.5755
1.49979,-5.5619
1.50975,-5.5496
1.51972,-5.5646
1.52968,-5.5776
1.53965,-5.5651
1.54961,-5.5557
1.55957,-5.5557
1.56954,-5.5729
1.5795,-5.5796
1.58947,-5.5742
1.59943,-5.5552
1.6094,-5.5678
1.61936,-5.5737
1.62936,-5.579
1.63935,-5.56
1.64935,-5.5479
1.65935,-5.5647
1.66934,-5.5771
1.67934,-5.5779
1.68934,-5.5547
1.69933,-5.561
1.70933,-5.5753
1.71933,-5.5824
1.72932,-5.5737
1.73932,-5.5588
1.74932,-5.5663
1.75941,-5.582
1.7695,-5.5763
1.77958,-5.5598
1.78967,-5.5535
1.79975,-5.5651
1.80984,-5.5728
1.81993,-5.5666
1.83001,-5.5521
1.8401,-5.5628
