time_s,measured_value
0.00978,-3.1357
0.01955,-3.125
0.02933,-3.1208
0.03911,-3.1233
0.04888,-3.1049
0.05866,-3.0923
0.06844,-3.0794
0.07821,-3.0844
0.08799,-3.0931
0.09777,-3.1121
0.10754,-3.1209
0.11732,-3.1274
0.12723,-3.1299
0.13726,-3.14
0.1473,-3.1399
0.15734,-3.1452
0.16737,-3.1259
0.17741,-3.1039
0.18745,-3.1146
0.19748,-3.131
0.20752,-3.1449
0.21756,-3.151
0.2276,-3.1559
0.23763,-3.1341
0.24767,-3.1291
0.25765,-3.1246
0.26763,-3.1233
0.27761,-3.1359
0.28758,-3.1449
0.29756,-3.1365
0.30754,-3.156
0.31752,-3.1567
0.3275,-3.1301
0.33748,-3.1285
0.34745,-3.1316
0.35743,-3.1275
0.36741,-3.1317
0.37739,-3.1361
0.38736,-3.1257
0.39733,-3.1228
0.4073,-3.1231
0.41727,-3.1238
0.42724,-3.1231
0.43721,-3.1329
0.44718,-3.1387
0.45715,-3.1354
0.46712,-3.1296
0.47709,-3.1296
0.48706,-3.1211
0.49703,-3.1124
0.50704,-3.1145
0.51705,-3.1201
0.52706,-3.1264
0.53707,-3.1418
0.54708,-3.1346
0.55709,-3.1242
0.5671,-3.122
0.57711,-3.1259
0.58712,-3.126
0.59713,-3.1223
0.60714,-3.1243
0.61715,-3.1215
0.62718,-3.1273
0.63722,-3.1314
0.64727,-3.1315
0.65731,-3.1321
0.66736,-3.1214
0.6774,-3.1243
0.68744,-3.1341
0.69749,-3.1303
0.70753,-3.1513
0.71757,-3.1715
0.72762,-3.162
0.73766,-3.1614
0.74771,-3.1475
0.75765,-3.1378
0.76759,-3.122
0.77753,-3.1096
0.78748,-3.1037
0.79742,-3.1073
0.80736,-3.0978
0.8173,-3.1105
0.82724,-3.1226
0.83718,-3.1507
0.84712,-3.1504
0.85707,-3.1623
0.86701,-3.167
0.87702,-3.1568
0.8871,-3.1324
0.89717,-3.116
0.90725,-3.109
0.91733,-3.1037
0.9274,-3.115
0.93748,-3.1516
0.94756,-3.165
0.95763,-3.1544
0.96771,-3.1589
0.97779,-3.1649
0.98786,-3.1698
0.99794,-3.1625
1.00794,-3.1612
1.01793,-3.1556
1.02792,-3.1505
1.03791,-3.1452
1.0479,-3.1473
1.05789,-3.1522
1.06789,-3.1467
1.07788,-3.1456
1.08787,-3.1376
1.09786,-3.1383
1.10785,-3.1309
1.11784,-3.1304
1.12786,-3.1335
1.13789,-3.1416
1.14792,-3.132
1.15795,-3.1373
1.16798,-3.1408
1.17801,-3.1344
1.18805,-3.1418
1.19808,-3.1542
1.20811,-3.145
1.21814,-3.1227
1.22817,-3.1084
1.2382,-3.1043
1.24823,-3.1123
1.25821,-3.147
1.26818,-3.1625
1.27814,-3.1681
1.28811,-3.1715
1.29808,-3.1716
1.30805,-3.1487
1.31802,-3.1349
1.32798,-3.1342
1.33795,-3.1369
1.34792,-3.1427
1.35789,-3.1496
1.36786,-3.1439
1.37785,-3.1438
1.38784,-3.1402
1.39784,-3.1467
1.40783,-3.1392
1.41783,-3.1302
1.42783,-3.1267
1.43782,-3.1358
1.44782,-3.1306
1.45782,-3.1522
1.46781,-3.1613
1.47781,-3.1524
1.48781,-3.1341
1.4978,-3.1345
1.50781,-3.1344
1.51781,-3.1342
1.52782,-3.1448
1.53782,-3.1578
1.54782,-3.1642
1.55783,-3.1587
1.56783,-3.1589
1.57784,-3.1424
1.58784,-3.1419
1.59784,-3.1447
1.60785,-3.1402
1.61785,-3.1394
1.62785,-3.1397
1.63785,-3.1442
1.64784,-3.1383
1.65784,-3.1579
1.66783,-3.1598
1.67782,-3.1626
