time_s,measured_value
0.00984,-0.4185
0.01967,-0.4121
0.02951,-0.4156
0.03934,-0.4125
0.04918,-0.4154
0.05901,-0.4267
0.06885,-0.4329
0.07868,-0.436
0.08852,-0.4369
0.09836,-0.4305
0.10819,-0.4319
0.11803,-0.4255
0.12795,-0.4288
0.13794,-0.4289
0.14794,-0.4164
0.15794,-0.4212
0.16793,-0.4249
0.17793,-0.42
0.18792,-0.421
0.19792,-0.4251
0.20792,-0.4222
0.21791,-0.4288
0.22791,-0.4249
0.23791,-0.4153
0.2479,-0.4119
0.2579,-0.4136
0.2679,-0.4168
0.2779,-0.4044
0.2879,-0.4049
0.2979,-0.4169
0.3079,-0.4319
0.31789,-0.4404
0.32789,-0.4439
0.33789,-0.45
0.34789,-0.4405
0.35789,-0.4263
0.36788,-0.4186
0.37791,-0.4149
0.38795,-0.4182
0.39799,-0.4153
0.40803,-0.416
0.41808,-0.4119
0.42812,-0.4126
0.43816,-0.4173
0.4482,-0.4284
0.45825,-0.4262
0.46829,-0.4309
0.47833,-0.4226
0.48837,-0.4235
0.49841,-0.4303
0.50845,-0.4281
0.51848,-0.4234
0.52852,-0.4291
0.53855,-0.4222
0.54858,-0.4276
0.55862,-0.4182
0.56865,-0.4132
0.57869,-0.4219
0.58872,-0.435
0.59875,-0.4294
0.60879,-0.4223
0.61882,-0.4157
0.62884,-0.4127
0.63884,-0.4078
0.64884,-0.4179
0.65884,-0.4197
0.66883,-0.4307
0.67883,-0.438
0.68883,-0.4457
0.69883,-0.4304
0.70883,-0.4214
0.71883,-0.4255
0.72883,-0.4322
0.73883,-0.4149
0.74882,-0.4164
0.75884,-0.4224
0.76883,-0.4243
0.77882,-0.4218
0.78882,-0.415
0.79881,-0.4102
0.80881,-0.4126
0.8188,-0.4271
0.8288,-0.4385
0.83879,-0.4411
0.84878,-0.4331
0.85878,-0.4233
0.86877,-0.4259
0.87875,-0.4228
0.88872,-0.4235
0.89869,-0.4406
0.90865,-0.4424
0.91862,-0.4509
0.92859,-0.4299
0.93855,-0.4166
0.94852,-0.4044
0.95849,-0.404
0.96845,-0.4186
0.97842,-0.4341
0.98839,-0.4398
0.99835,-0.4287
1.00836,-0.423
1.01835,-0.4096
1.02835,-0.4082
1.03834,-0.4128
1.04834,-0.4284
1.05834,-0.4343
1.06833,-0.4259
1.07833,-0.4303
1.08832,-0.4443
1.09832,-0.4411
1.10832,-0.4341
1.11831,-0.4407
1.12833,-0.4275
1.13836,-0.4208
1.14839,-0.4131
1.15842,-0.4108
1.16845,-0.4151
1.17849,-0.4256
1.18852,-0.4258
1.19855,-0.419
1.20858,-0.4187
1.21861,-0.4231
1.22864,-0.4325
1.23868,-0.4328
1.24871,-0.4334
1.2587,-0.4289
1.2687,-0.4324
1.27869,-0.4338
1.28869,-0.437
1.29868,-0.4352
