time_s,measured_value
0.00994,0.1358
0.01988,0.1439
0.02982,0.1408
0.03976,0.1342
0.0497,0.1358
0.05964,0.125
0.06958,0.1245
0.07952,0.1287
0.08946,0.127
0.0994,0.1271
0.10934,0.1326
0.11928,0.1371
0.12925,0.1401
0.13924,0.1376
0.14923,0.1325
0.15922,0.1223
0.16921,0.1162
0.1792,0.12
0.18919,0.122
0.19918,0.136
0.20918,0.1381
0.21917,0.137
0.22916,0.1394
0.23915,0.1463
0.24914,0.1397
0.25915,0.1465
0.26916,0.1318
0.27916,0.128
0.28917,0.1213
0.29917,0.1186
0.30918,0.1222
0.31918,0.1242
0.32919,0.1229
0.3392,0.1292
0.3492,0.1298
0.35921,0.1316
0.36921,0.1318
0.37921,0.1314
0.38919,0.1302
0.39918,0.1281
0.40916,0.1262
0.41914,0.1256
0.42913,0.1355
0.43911,0.1367
0.44909,0.1386
0.45908,0.1405
0.46906,0.1409
0.47904,0.1446
0.48903,0.1289
0.49901,0.1334
0.50903,0.1255
0.51905,0.1139
0.52907,0.1239
0.53909,0.1395
0.54911,0.1446
0.55912,0.1428
0.56914,0.1389
0.57916,0.1373
0.58918,0.1359
0.5992,0.1338
0.60922,0.1309
0.61923,0.1129
0.62923,0.1175
0.63921,0.1249
0.64918,0.1333
0.65916,0.1378
0.66913,0.1446
0.6791,0.1417
0.68908,0.1331
0.69905,0.1304
0.70903,0.1215
0.719,0.1232
0.72897,0.1198
0.73895,0.1287
0.74892,0.1388
0.75894,0.1417
0.76896,0.1421
0.77898,0.1382
0.789,0.1299
0.79902,0.1373
0.80904,0.1268
0.81905,0.127
0.82907,0.1262
0.83909,0.1335
0.84911,0.1391
0.85913,0.1337
0.86915,0.1427
0.8792,0.1352
0.88929,0.1454
0.89938,0.1465
0.90947,0.1422
0.91956,0.1363
0.92965,0.1268
0.93973,0.109
0.94982,0.1144
0.95991,0.1218
0.97,0.1428
0.98009,0.1505
0.99018,0.1582
1.00027,0.1555
1.01027,0.1407
