time_s,measured_value
0.01007,-0.5769
0.02014,-0.619
0.03021,-0.6052
0.04028,-0.5406
0.05035,-0.5207
0.06042,-0.5119
0.07049,-0.5146
0.08056,-0.5249
0.09063,-0.5855
0.1007,-0.6532
0.11077,-0.6643
0.12084,-0.6411
0.13082,-0.6272
0.14072,-0.583
0.15062,-0.5475
0.16052,-0.5286
0.17042,-0.5238
0.18032,-0.5309
0.19022,-0.5316
0.20012,-0.5442
0.21002,-0.607
0.21992,-0.6331
0.22982,-0.6283
0.23972,-0.4926
0.24962,-0.3377
0.25964,-0.3174
0.26966,-0.3681
0.27968,-0.3717
0.28969,-0.3607
0.29971,-0.3749
0.30973,-0.386
0.31975,-0.4844
0.32977,-0.5169
0.33979,-0.5392
0.34981,-0.5341
0.35983,-0.5588
0.36984,-0.5176
0.37984,-0.4259
0.38982,-0.3327
0.39979,-0.2833
0.40976,-0.2938
0.41974,-0.3917
0.42971,-0.5198
0.43968,-0.6879
0.44966,-0.7301
0.45963,-0.6032
0.4696,-0.5262
0.47958,-0.5688
0.48955,-0.6209
0.49952,-0.6016
0.50955,-0.583
0.51957,-0.6297
0.52958,-0.6379
0.5396,-0.522
0.54962,-0.4553
0.55964,-0.4917
0.56966,-0.4951
0.57968,-0.5033
0.5897,-0.6023
0.59972,-0.6643
0.60974,-0.6329
0.61976,-0.3302
0.62978,-0.3604
0.63979,-0.4875
0.6498,-0.7215
0.65981,-0.7177
0.66983,-0.5748
0.67984,-0.5827
0.68985,-0.6665
0.69987,-0.6217
0.70988,-0.6231
0.71989,-0.6864
0.7299,-0.7176
0.73992,-0.6648
0.74993,-0.6307
0.76,-0.6109
0.77007,-0.5646
0.78014,-0.5334
0.7902,-0.5477
0.80027,-0.5719
0.81034,-0.5898
0.8204,-0.5924
0.83047,-0.6004
0.84054,-0.5661
0.85061,-0.5538
0.86067,-0.5966
0.87074,-0.6283
0.88078,-0.5989
0.89078,-0.5771
0.90078,-0.6044
0.91077,-0.6004
0.92077,-0.5995
0.93077,-0.6259
0.94077,-0.6547
0.95077,-0.6033
0.96077,-0.5743
