time_s,measured_value
0.00973,-0.0393
0.01945,-0.0325
0.02918,-0.0324
0.0389,-0.0366
0.04863,-0.0373
0.05835,-0.0328
0.06808,-0.0269
0.07781,-0.0322
0.08753,-0.0346
0.09726,-0.0412
0.10698,-0.0413
0.11671,-0.0364
0.12658,-0.034
0.1366,-0.0389
0.14661,-0.029
0.15663,-0.0381
0.16665,-0.0426
0.17666,-0.0553
0.18668,-0.0549
0.1967,-0.0527
0.20671,-0.0391
0.21673,-0.0359
0.22675,-0.0343
0.23676,-0.0422
0.24678,-0.049
0.25694,-0.0475
0.26709,-0.043
0.27724,-0.0357
0.2874,-0.0349
0.29755,-0.0342
0.3077,-0.0447
0.31786,-0.0402
0.32801,-0.0427
0.33816,-0.0496
0.34832,-0.0533
0.35847,-0.0528
0.36862,-0.0518
0.37866,-0.0419
0.38856,-0.0367
0.39847,-0.0399
0.40838,-0.0376
0.41829,-0.0398
0.4282,-0.0397
0.43811,-0.0463
0.44801,-0.0446
0.45792,-0.0407
0.46783,-0.0378
0.47774,-0.0394
0.48765,-0.0436
0.49755,-0.0479
0.50756,-0.0431
0.51755,-0.0499
0.52755,-0.0478
0.53755,-0.0444
0.54755,-0.0426
0.55754,-0.0387
0.56754,-0.0414
0.57754,-0.0536
0.58754,-0.0572
0.59753,-0.0496
0.60753,-0.0419
0.61753,-0.0533
0.62752,-0.0564
0.63751,-0.0538
0.6475,-0.0519
0.65749,-0.0419
0.66748,-0.0471
0.67747,-0.0434
0.68746,-0.0424
0.69744,-0.0481
0.70743,-0.058
0.71742,-0.0528
0.72741,-0.044
0.7374,-0.0455
0.74739,-0.0425
0.75743,-0.0406
0.76746,-0.0439
0.7775,-0.0585
0.78753,-0.0619
0.79757,-0.057
0.80761,-0.0521
0.81764,-0.0514
0.82768,-0.0461
0.83771,-0.0537
0.84775,-0.0449
0.85779,-0.0489
0.86782,-0.0483
0.87782,-0.0502
0.88778,-0.0444
0.89774,-0.0433
0.9077,-0.0448
0.91766,-0.0538
0.92762,-0.0503
0.93758,-0.0496
0.94754,-0.0602
0.9575,-0.0601
0.96746,-0.0471
0.97742,-0.0446
0.98737,-0.0441
0.99733,-0.0474
1.00736,-0.0513
1.01739,-0.0505
1.02741,-0.0508
1.03743,-0.0515
1.04746,-0.0577
1.05748,-0.0516
1.0675,-0.0448
1.07753,-0.0553
1.08755,-0.0653
1.09758,-0.0572
1.1076,-0.0542
1.11762,-0.0516
1.12767,-0.0434
1.13774,-0.0466
1.14781,-0.0358
1.15787,-0.0527
1.16794,-0.0489
1.17801,-0.0483
1.18808,-0.0441
1.19814,-0.0539
1.20821,-0.0516
1.21828,-0.0503
1.22834,-0.0513
1.23841,-0.0524
1.24848,-0.0599
1.25849,-0.0528
1.2685,-0.0514
1.27851,-0.0597
1.28852,-0.0542
1.29854,-0.0497
1.30855,-0.0471
1.31856,-0.0525
1.32857,-0.043
1.33858,-0.0517
1.34859,-0.047
1.3586,-0.0547
1.36861,-0.0534
1.37862,-0.0529
1.38862,-0.058
1.39861,-0.0573
1.40861,-0.0557
1.41861,-0.0522
1.42861,-0.0483
1.4386,-0.0476
1.4486,-0.0505
1.4586,-0.0561
1.4686,-0.0561
1.4786,-0.0621
1.48859,-0.0586
1.49859,-0.0527
1.50859,-0.0438
1.51859,-0.0458
1.52858,-0.0539
1.53858,-0.0551
1.54858,-0.0602
1.55857,-0.0633
1.56857,-0.0483
1.57857,-0.0449
1.58856,-0.0587
1.59856,-0.0526
1.60855,-0.051
1.61855,-0.0608
1.62855,-0.0588
1.63854,-0.0551
1.64854,-0.054
1.65853,-0.0479
1.66852,-0.0583
1.67852,-0.0499
1.68851,-0.0516
1.6985,-0.059
1.7085,-0.0502
1.71849,-0.0504
1.72848,-0.0536
1.73847,-0.054
1.74847,-0.0467
1.75843,-0.0451
1.76839,-0.0508
1.77835,-0.0568
1.7883,-0.0504
1.79826,-0.0573
1.80822,-0.0543
1.81818,-0.0466
1.82814,-0.0402
1.83809,-0.0536
1.84805,-0.0509
1.85801,-0.0601
1.86797,-0.0654
1.87795,-0.0678
1.88795,-0.0654
1.89796,-0.0561
1.90796,-0.053
1.91796,-0.0449
1.92796,-0.0489
1.93796,-0.0537
1.94796,-0.0526
1.95797,-0.061
1.96797,-0.0626
1.97797,-0.0568
1.98797,-0.0494
1.99797,-0.0454
2.00803,-0.0401
2.01809,-0.0508
2.02815,-0.0611
2.03821,-0.0642
2.04827,-0.0675
2.05833,-0.0617
2.06839,-0.0553
2.07844,-0.0587
2.0885,-0.044
2.09856,-0.0537
2.10862,-0.0607
2.11868,-0.0585
2.1287,-0.056
2.13866,-0.0654
2.14863,-0.0531
2.1586,-0.0482
2.16857,-0.0443
2.17854,-0.0498
2.18851,-0.0538
