time_s,measured_value
0.00983,-1.1714
0.01966,-1.1666
0.02949,-1.1531
0.03932,-1.1592
0.04915,-1.1468
0.05898,-1.1619
0.06881,-1.1534
0.07864,-1.1755
0.08847,-1.1899
0.0983,-1.2222
0.10813,-1.2289
0.11796,-1.2062
0.12788,-1.19
0.13789,-1.1923
0.1479,-1.1944
0.15791,-1.1848
0.16791,-1.1778
0.17792,-1.197
0.18793,-1.1965
0.19794,-1.1904
0.20795,-1.1671
0.21796,-1.1469
0.22797,-1.1371
0.23798,-1.1238
0.24799,-1.1481
0.25805,-1.198
0.26812,-1.2195
0.27818,-1.2184
0.28824,-1.1889
0.2983,-1.173
0.30836,-1.175
0.31842,-1.1587
0.32849,-1.1614
0.33855,-1.142
0.34861,-1.1703
0.35867,-1.1348
0.36873,-1.1469
0.37871,-1.1861
0.38861,-1.1815
0.3985,-1.1584
0.40839,-1.1258
0.41829,-1.115
0.42818,-1.0901
0.43807,-1.0613
0.44797,-1.0399
0.45786,-1.0361
0.46776,-1.02
0.47765,-1.0296
0.48754,-1.0172
0.49744,-1.0084
0.50754,-1.0036
0.51765,-1.0165
0.52775,-0.9973
0.53786,-0.9842
0.54796,-0.9624
0.55806,-0.9511
0.56817,-0.9529
0.57827,-0.9608
0.58838,-0.9546
0.59848,-0.9487
0.60859,-0.9699
0.61869,-0.9678
0.62874,-0.9544
0.63874,-0.9541
0.64874,-0.9592
0.65874,-0.9582
0.66874,-0.9528
0.67874,-0.9436
0.68874,-0.9394
0.69874,-0.9502
0.70874,-0.9515
0.71874,-0.9532
0.72874,-0.9573
0.73874,-0.9566
0.74874,-0.9677
0.75878,-0.9633
0.76882,-0.9722
0.77886,-0.9602
0.7889,-0.952
0.79893,-0.9608
0.80897,-0.9566
0.81901,-0.9547
0.82904,-0.9448
0.83908,-0.9599
0.84912,-0.9559
0.85916,-0.9548
0.86919,-0.9659
0.87918,-0.9647
0.8891,-0.9669
0.89903,-0.966
0.90895,-0.9677
0.91888,-0.9628
0.9288,-0.958
0.93872,-0.9646
0.94865,-0.961
0.95857,-0.9572
0.9685,-0.9662
0.97842,-0.9619
0.98834,-0.9643
0.99827,-0.9611
1.00827,-0.9513
1.01828,-0.9599
1.02828,-0.9535
1.03828,-0.9664
1.04828,-0.9536
1.05829,-0.9549
1.06829,-0.9512
1.07829,-0.963
1.08829,-0.9663
1.0983,-0.9611
1.1083,-0.966
1.1183,-0.9687
1.1283,-0.9646
1.1383,-0.9635
1.14829,-0.9552
1.15829,-0.9574
1.16828,-0.9653
1.17828,-0.9573
1.18827,-0.9553
1.19827,-0.9589
1.20827,-0.9657
1.21826,-0.9638
1.22826,-0.9765
1.23825,-0.9784
1.24825,-0.9785
1.25828,-0.9829
1.2683,-0.9782
1.27832,-0.9644
1.28835,-0.9585
1.29837,-0.9554
1.3084,-0.9632
1.31842,-0.9614
1.32845,-0.9671
1.33847,-0.9712
1.3485,-0.9638
1.35852,-0.9594
1.36855,-0.9525
1.37855,-0.9499
1.38852,-0.9467
1.39849,-0.956
1.40846,-0.9602
1.41843,-0.9695
1.42841,-0.9709
1.43838,-0.9534
1.44835,-0.9662
1.45832,-0.9859
1.46829,-0.9788
1.47826,-0.9721
1.48823,-0.9581
1.4982,-0.9578
1.50823,-0.9743
1.51826,-0.9608
1.52829,-0.9453
1.53831,-0.9501
1.54834,-0.9774
1.55837,-0.9954
1.56839,-0.987
1.57842,-0.9652
1.58845,-0.9585
1.59847,-0.9552
1.6085,-0.9424
1.61853,-0.9365
1.62854,-0.9505
1.63853,-0.9692
1.64852,-0.9785
1.6585,-0.9839
1.66849,-0.9759
1.67848,-0.9694
1.68847,-0.9673
1.69846,-0.9607
1.70845,-0.9557
1.71843,-0.9611
1.72842,-0.9785
1.73841,-0.9668
1.7484,-0.9704
1.75845,-0.985
1.76849,-0.9909
1.77854,-0.9781
1.78858,-0.9752
1.79863,-0.9704
1.80867,-0.9621
1.81872,-0.9614
1.82876,-0.9677
1.83881,-0.9795
1.84885,-0.9708
1.8589,-0.9774
1.86894,-0.9774
1.87899,-0.9818
1.88903,-0.9764
1.89906,-0.963
1.9091,-0.9661
1.91914,-0.9684
1.92918,-0.9776
1.93921,-0.9704
1.94925,-0.9774
1.95929,-0.9487
1.96933,-0.9864
1.97936,-0.993
1.9894,-0.9842
1.99944,-0.968
2.00944,-0.9652
2.01944,-0.9689
2.02944,-0.9671
2.03944,-0.9547
2.04944,-0.959
2.05944,-0.9874
2.06944,-0.9901
2.07944,-0.9848
2.08944,-0.9767
2.09944,-0.9681
2.10944,-0.9731
2.11944,-0.9732
2.12944,-0.9679
2.13943,-0.9581
2.14942,-0.9515
2.15942,-0.965
2.16941,-0.9891
2.1794,-0.9835
2.1894,-0.9738
2.19939,-0.9704
2.20938,-0.9651
2.21938,-0.9478
2.22937,-0.9572
2.23936,-0.9514
2.24936,-0.9694
2.25941,-0.9834
2.26946,-0.986
2.2795,-0.9857
2.28955,-0.9704
2.2996,-0.965
2.30965,-0.9509
2.3197,-0.9515
2.32975,-0.974
2.3398,-0.9795
2.34984,-0.9782
2.35989,-0.9675
2.36994,-0.9814
2.37994,-0.9855
2.38988,-0.9772
2.39983,-0.9685
2.40977,-0.9616
2.41972,-0.9699
2.42966,-0.9728
2.4396,-0.9752
2.44955,-0.9719
2.45949,-0.9834
2.46943,-0.9823
2.47938,-0.9895
2.48932,-0.9755
2.49927,-0.9663
2.50928,-0.9503
2.5193,-0.9696
2.52931,-0.9729
2.53933,-0.9769
2.54934,-0.9806
2.55935,-0.981
2.56937,-0.9895
2.57938,-0.9688
2.5894,-0.9606
2.59941,-0.9605
2.60942,-0.9593
2.61944,-0.9802
2.62944,-0.9789
2.63942,-0.9788
2.6494,-0.9784
2.65938,-0.9815
2.66936,-0.9614
2.67934,-0.9634
2.68933,-0.9795
2.69931,-0.9947
2.70929,-0.9981
2.71927,-0.9827
2.72925,-0.9553
2.73923,-0.9554
2.74921,-0.9697
2.75929,-0.9804
2.76936,-0.9903
2.77944,-0.9821
2.78951,-0.9818
2.79958,-0.9814
2.80966,-0.9821
2.81973,-0.9674
2.82981,-0.9545
2.83988,-0.9743
2.84995,-0.9945
2.86003,-0.9863
2.8701,-0.9664
2.88012,-0.9697
2.89008,-0.983
2.90003,-0.9883
2.90999,-0.9841
2.91995,-0.9872
2.92991,-0.9754
2.93986,-0.9746
2.94982,-0.9735
2.95978,-0.9627
2.96973,-0.9579
2.97969,-0.9755
2.98965,-0.9824
2.9996,-0.9855
3.00961,-0.9831
3.01961,-0.9852
3.02961,-0.9882
3.03961,-0.9809
3.04961,-0.9628
3.05961,-0.9605
3.06961,-0.9693
3.07961,-0.9804
3.08961,-0.9799
3.09961,-0.9848
3.10961,-0.9821
3.11961,-0.9887
3.12961,-0.9922
3.13962,-0.981
3.14962,-0.9705
3.15962,-0.9658
3.16962,-0.9812
3.17963,-0.9875
3.18963,-0.981
3.19963,-0.982
3.20963,-0.9731
3.21963,-0.9838
3.22964,-0.9848
3.23964,-0.9804
3.24964,-0.9791
3.25964,-0.9822
3.26963,-0.9868
3.27962,-0.972
3.28962,-0.9737
3.29961,-0.9672
3.3096,-0.9804
3.31959,-0.9848
3.32959,-0.9739
3.33958,-0.9764
3.34957,-0.971
3.35957,-0.9768
3.36956,-0.9669
3.37956,-0.9699
3.38956,-0.9726
3.39956,-0.9832
3.40956,-0.9809
3.41956,-0.9688
3.42956,-0.9741
3.43955,-0.9784
3.44955,-0.9765
3.45955,-0.9824
3.46955,-0.9746
3.47955,-0.9737
3.48955,-0.9727
3.49955,-0.9807
3.50955,-0.9858
3.51955,-0.9702
3.52955,-0.9785
3.53954,-0.9925
3.54954,-0.9904
3.55954,-0.982
3.56954,-0.9702
3.57954,-0.9791
3.58953,-0.9936
3.59953,-0.9876
3.60953,-0.9638
3.61953,-0.9596
3.62955,-0.9858
3.63954,-0.9967
3.64954,-0.9933
3.65954,-0.9868
3.66953,-0.9804
3.67953,-0.9754
3.68953,-0.9808
3.69953,-0.9723
3.70952,-0.9567
3.71952,-0.9588
3.72952,-0.9765
3.73951,-0.9902
3.74951,-0.9657
3.75955,-0.9622
3.76959,-0.9739
3.77963,-0.9902
3.78967,-0.9848
3.79971,-0.9805
3.80975,-0.9843
3.81979,-0.9883
3.82983,-0.9868
3.83986,-0.985
3.8499,-0.976
3.85994,-0.9724
3.86998,-0.9919
3.88002,-0.9852
3.89007,-0.9755
3.90011,-0.9751
3.91015,-0.9753
3.9202,-0.9841
3.93024,-0.9709
3.94028,-0.9695
3.95032,-0.9774
3.96037,-0.9816
3.97041,-0.9875
3.98045,-0.9774
3.9905,-0.9762
4.00054,-0.9734
4.01057,-0.9848
4.02059,-0.9763
4.03061,-0.9782
4.04064,-0.9738
4.05066,-0.9796
4.06069,-0.9869
4.07071,-0.9802
4.08073,-0.9711
4.09076,-0.9696
4.10078,-0.9907
4.11081,-0.9882
4.12083,-0.982
4.13082,-0.9817
4.14078,-0.9902
4.15073,-0.9867
4.16069,-0.9784
4.17064,-0.9842
4.1806,-0.9716
4.19055,-0.9877
4.2005,-0.9864
4.21046,-0.967
4.22041,-0.9698
4.23037,-0.9797
4.24032,-0.9827
4.25028,-0.9882
4.26031,-0.978
4.27033,-0.9817
4.28035,-0.9903
4.29037,-0.9868
4.3004,-0.9885
4.31042,-0.9767
4.32044,-0.9719
4.33046,-0.9708
4.34049,-0.9754
4.35051,-0.9668
4.36053,-0.9674
4.37055,-0.9676
4.38056,-0.9795
4.39055,-0.9904
4.40054,-0.9825
4.41052,-0.9757
4.42051,-0.9831
4.4305,-0.9913
4.44049,-0.9849
4.45048,-0.9754
4.46046,-0.97
4.47045,-0.9733
4.48044,-0.9824
4.49043,-0.979
4.50042,-0.9823
4.51043,-0.9755
4.52043,-0.9888
4.53043,-0.9812
4.54043,-0.9649
4.55044,-0.9732
4.56044,-0.9769
4.57044,-0.9819
4.58044,-0.9743
4.59044,-0.9699
4.60045,-0.9867
4.61045,-0.9909
4.62045,-0.9885
4.63046,-0.9758
4.64044,-0.9806
4.65042,-0.975
4.66041,-0.9817
4.67039,-0.9791
4.68037,-0.9726
4.69035,-0.9677
4.70033,-0.9785
4.71031,-0.9881
4.72029,-0.9951
4.73028,-0.9805
4.74026,-0.9707
4.75024,-0.9834
4.76024,-0.9861
4.77023,-0.9644
4.78023,-0.9582
4.79022,-0.9728
4.80022,-0.983
4.81021,-0.991
4.82021,-0.9766
4.8302,-0.9733
4.8402,-0.9754
4.85019,-0.9846
4.86019,-0.9894
4.87019,-0.9762
4.88021,-0.9763
4.89023,-0.9815
4.90025,-0.9775
4.91028,-0.9648
4.9203,-0.9756
4.93032,-0.9753
4.94035,-0.9889
4.95037,-1.0019
4.96039,-0.9984
4.97042,-0.987
4.98044,-0.9859
4.99046,-0.9827
5.00049,-0.976
5.01056,-0.9765
5.02064,-0.9845
5.03071,-0.9946
5.04078,-0.997
5.05086,-0.9882
5.06093,-0.9848
5.07101,-0.9799
5.08108,-0.9881
5.09115,-0.9898
5.10123,-0.9829
5.1113,-0.9854
5.12138,-0.9847
5.1314,-0.9838
5.14137,-0.9969
5.15134,-0.9932
5.16131,-1.0067
5.17128,-1.0087
5.18124,-0.9965
5.19121,-0.9911
5.20118,-0.9996
5.21115,-0.9931
5.22112,-0.9928
5.23109,-0.9919
5.24106,-0.9831
5.25102,-0.9962
5.26106,-1.0072
5.27108,-1.0137
5.28111,-1.0053
5.29113,-0.9966
5.30116,-1.0022
5.31118,-1.013
5.32121,-1.0214
5.33123,-0.9942
5.34126,-1.0144
5.35128,-1.0278
5.36131,-1.0264
5.37133,-1.0144
5.38138,-1.015
5.39144,-1.0142
5.4015,-1.0136
5.41156,-1.0155
5.42162,-1.0089
5.43167,-1.0026
5.44173,-1.017
5.45179,-1.0292
5.46185,-1.0278
5.47191,-1.0123
5.48197,-1.0195
5.49203,-1.0218
5.50209,-1.0079
5.51211,-1.0006
5.52212,-1.006
5.53212,-1.018
5.54213,-1.0167
5.55213,-1.016
5.56213,-1.02
5.57214,-1.0095
5.58214,-1.0219
5.59215,-1.0211
5.60215,-1.0209
5.61215,-1.0223
5.62216,-1.0268
5.63216,-1.0301
5.64214,-1.0239
5.65211,-1.0164
5.66208,-1.006
5.67205,-1.0198
5.68203,-1.0134
5.692,-1.0078
5.70197,-1.0187
5.71194,-1.0141
5.72191,-1.016
5.73189,-1.0322
5.74186,-1.0253
5.75183,-1.025
5.7618,-1.019
5.77177,-1.0121
5.78173,-1.0181
5.7917,-1.023
5.80167,-1.0235
5.81164,-1.0311
5.8216,-1.0352
5.83157,-1.0278
5.84154,-1.0222
5.8515,-1.0216
5.86147,-1.0246
5.87144,-1.0237
5.88141,-1.0269
5.89139,-1.0216
5.90136,-1.023
5.91133,-1.026
5.92131,-1.0284
5.93128,-1.0226
5.94125,-1.0222
5.95123,-1.0161
5.9612,-1.0262
5.97118,-1.0252
5.98115,-1.02
5.99112,-1.0087
6.0011,-1.0237
6.01118,-1.0267
6.02125,-1.0157
6.03133,-1.0154
6.0414,-1.0268
6.05148,-1.0397
6.06155,-1.0347
6.07163,-1.0091
6.0817,-1.0018
6.09178,-1.0139
6.10185,-1.0215
6.11193,-1.0138
6.12201,-1.0296
6.13206,-1.039
6.14209,-1.0421
6.15212,-1.0299
6.16215,-1.018
6.17217,-1.0101
6.1822,-1.0187
6.19223,-1.0301
6.20226,-1.0178
6.21229,-1.0137
6.22231,-1.0263
6.23234,-1.0323
6.24237,-1.034
6.2524,-1.0183
6.26237,-1.0177
6.27233,-1.0164
6.28229,-1.0117
6.29226,-1.0049
6.30222,-1.0179
6.31218,-1.0145
6.32215,-1.0335
6.33211,-1.0322
6.34207,-1.0317
6.35204,-1.019
6.362,-0.9988
6.37196,-1.0077
6.38193,-1.0226
6.39191,-1.0171
6.40189,-1.0212
6.41186,-1.0225
6.42184,-1.0311
6.43182,-1.0281
6.44179,-1.0102
6.45177,-1.0059
6.46174,-1.0164
6.47172,-1.025
6.4817,-1.0286
6.49167,-1.0238
6.50165,-1.0195
6.51169,-1.0192
6.52171,-1.0238
6.53174,-1.0213
6.54177,-1.0103
6.5518,-1.016
6.56183,-1.0178
6.57186,-1.0217
6.58189,-1.0175
6.59192,-1.0229
6.60195,-1.0206
6.61197,-1.0178
6.622,-1.0223
6.63203,-1.0082
6.64205,-1.0058
6.65206,-1.0149
6.66208,-1.0254
6.6721,-1.0153
6.68212,-1.0119
6.69213,-1.024
6.70215,-1.0213
6.71217,-1.0127
6.72219,-1.0136
6.7322,-1.0175
6.74222,-1.0266
6.75224,-1.0182
6.76218,-1.0034
6.77213,-1.0066
6.78207,-0.9969
6.79202,-1.0037
6.80196,-1.0199
6.81191,-1.0229
6.82185,-1.0191
6.8318,-1.0123
6.84174,-1.0183
6.85168,-1.0232
6.86163,-1.0085
6.87157,-1.0064
6.88157,-1.0147
6.89158,-1.0279
6.90158,-1.0219
6.91159,-1.0049
6.9216,-1.0118
6.9316,-1.0179
6.94161,-1.0263
6.95162,-1.0156
6.96163,-1.0163
6.97163,-1.0203
6.98164,-1.0179
6.99165,-1.0158
7.00165,-1.0117
7.01175,-1.0074
7.02183,-1.0045
7.03192,-1.0149
7.04201,-1.0204
7.0521,-1.0162
7.06219,-1.0102
7.07228,-1.0172
7.08237,-1.0296
7.09245,-1.0197
7.10254,-1.0266
7.11263,-1.0326
7.12272,-1.0311
7.13272,-1.0246
7.14262,-1.0203
7.15252,-1.0172
7.16242,-1.0215
7.17232,-1.0099
7.18222,-1.0118
7.19211,-1.0129
7.20201,-1.014
7.21191,-1.0199
7.22181,-1.02
7.23171,-0.9971
7.24161,-1.0059
7.25151,-1.0301
7.26159,-1.0537
7.27165,-1.0417
7.28171,-1.0152
7.29177,-1.0096
7.30182,-1.02
7.31188,-1.0302
7.32194,-1.0305
7.332,-1.0193
7.34206,-1.0237
7.35212,-1.0189
7.36218,-1.0291
7.37224,-1.0147
7.38227,-1.0058
7.39228,-1.0213
7.40229,-1.0312
7.41229,-1.0244
7.4223,-1.0153
7.43231,-1.0118
7.44231,-1.0177
7.45232,-1.0246
7.46233,-1.0179
7.47233,-1.0167
7.48234,-1.024
7.49234,-1.0311
7.50235,-1.031
7.51239,-1.0186
7.52243,-1.0124
7.53247,-1.0216
7.5425,-1.0232
7.55254,-1.0178
7.56258,-1.0117
7.57261,-1.0031
7.58265,-1.0178
7.59268,-1.0131
7.60272,-1.017
7.61276,-1.0136
7.62279,-1.0228
7.6328,-1.0286
7.64278,-1.0252
7.65275,-1.0225
7.66272,-1.0131
7.6727,-1.0115
7.68267,-1.0211
7.69265,-1.024
7.70262,-1.0137
7.7126,-1.0099
7.72257,-1.0107
7.73254,-1.0262
7.74252,-1.0188
7.75249,-1.0193
7.76258,-1.0133
7.77267,-1.0251
7.78276,-1.0261
7.79285,-1.0175
7.80293,-1.0162
7.81302,-1.0262
7.82311,-1.0288
7.8332,-1.0165
7.84328,-0.9998
7.85337,-0.9988
7.86346,-1.0205
7.87355,-1.0322
7.88357,-1.0259
7.89351,-1.0257
7.90346,-1.0318
7.91341,-1.0287
7.92335,-1.0139
7.9333,-1.0108
7.94325,-1.0094
7.9532,-1.0277
7.96314,-1.0202
7.97309,-1.0188
7.98304,-1.0217
7.99298,-1.0235
8.00293,-1.0378
8.01292,-1.0403
8.02291,-1.0318
8.0329,-1.0225
8.04289,-1.0042
8.05287,-1.011
8.06286,-1.0099
8.07285,-1.0096
8.08283,-1.019
8.09282,-1.0398
8.10281,-1.0447
