time_s,measured_value
0.00975,0.7256
0.0195,0.7341
0.02924,0.7356
0.03899,0.7337
0.04874,0.7242
0.05849,0.7152
0.06824,0.709
0.07799,0.7115
0.08773,0.7229
0.09748,0.7261
0.10723,0.7213
0.11698,0.73
0.12691,0.7356
0.13701,0.7226
0.14711,0.7257
0.15721,0.7127
0.16731,0.7143
0.17741,0.7193
0.18751,0.7295
0.19761,0.727
0.20771,0.7228
0.21781,0.7211
0.2279,0.7204
0.238,0.7198
0.2481,0.7281
0.25811,0.7425
0.2681,0.743
0.2781,0.726
0.2881,0.7287
0.2981,0.7185
0.3081,0.7212
0.31809,0.7233
0.32809,0.7196
0.33809,0.7184
0.34809,0.7261
0.35809,0.7345
0.36808,0.7367
0.37803,0.7415
0.38792,0.7379
0.3978,0.728
0.40769,0.7264
0.41757,0.7215
0.42745,0.7317
0.43734,0.7349
0.44722,0.7365
0.45711,0.7308
0.46699,0.7232
0.47688,0.7181
0.48676,0.7224
0.49665,0.7176
0.50668,0.7213
0.51671,0.7253
0.52674,0.7319
0.53677,0.7376
0.5468,0.7435
0.55683,0.7332
0.56686,0.737
0.57689,0.7222
0.58692,0.7221
0.59695,0.7142
0.60698,0.7242
0.61701,0.7294
0.62708,0.7312
0.63718,0.7311
0.64728,0.733
0.65738,0.7264
0.66749,0.7342
0.67759,0.7276
0.68769,0.7316
0.69779,0.73
0.70789,0.7303
0.718,0.7234
0.7281,0.7195
0.7382,0.7175
0.7483,0.7228
0.75827,0.7345
0.76824,0.7359
0.7782,0.7369
0.78817,0.7322
0.79813,0.7128
0.8081,0.7166
0.81806,0.7154
0.82803,0.7216
0.838,0.7312
0.84796,0.7288
0.85793,0.7376
0.86789,0.7298
0.8779,0.7298
0.88793,0.7257
0.89797,0.7143
0.90801,0.7224
0.91805,0.7253
0.92808,0.7202
0.93812,0.7241
0.94816,0.7284
0.95819,0.7265
0.96823,0.7189
0.97827,0.7214
0.98831,0.7309
0.99834,0.7304
1.00831,0.7335
1.01827,0.7419
1.02822,0.7346
1.03817,0.7291
1.04812,0.7288
1.05808,0.7162
1.06803,0.7188
1.07798,0.7259
1.08793,0.7304
1.09789,0.7357
1.10784,0.7307
1.11779,0.7189
1.12778,0.7236
1.13778,0.7234
1.14779,0.727
1.1578,0.7232
1.16781,0.7281
1.17782,0.7363
1.18783,0.741
1.19784,0.7281
1.20785,0.7376
1.21785,0.7374
1.22786,0.7267
1.23787,0.7258
1.24788,0.7117
1.2579,0.7201
1.26791,0.7288
1.27792,0.7374
1.28793,0.7319
1.29795,0.7334
1.30796,0.7273
1.31797,0.7163
1.32799,0.7249
1.338,0.7201
1.34801,0.7296
1.35802,0.7309
1.36804,0.7229
1.37803,0.7274
1.38801,0.7229
1.39798,0.7247
1.40795,0.7178
1.41793,0.7258
1.4279,0.7255
1.43787,0.7325
1.44784,0.7383
1.45782,0.7278
1.46779,0.7306
1.47776,0.7239
1.48774,0.7268
1.49771,0.7188
1.5077,0.7202
1.5177,0.7313
1.52769,0.722
1.53769,0.7257
1.54768,0.716
1.55767,0.7126
1.56767,0.7159
1.57766,0.7235
1.58766,0.7264
1.59765,0.7389
1.60764,0.7347
1.61764,0.727
1.62766,0.7212
1.63771,0.7179
1.64777,0.7243
1.65782,0.7342
1.66787,0.7319
1.67792,0.7254
1.68797,0.7208
1.69802,0.7216
1.70807,0.7238
1.71812,0.7198
1.72817,0.7259
1.73822,0.7235
1.74827,0.7245
1.75826,0.7231
1.76824,0.7318
1.77822,0.7362
1.7882,0.7365
1.79819,0.7327
1.80817,0.7254
1.81815,0.7241
1.82813,0.7136
1.83811,0.7144
1.8481,0.716
1.85808,0.7294
1.86806,0.733
1.87806,0.7319
1.88808,0.7357
1.8981,0.7404
1.90812,0.7302
1.91814,0.7165
1.92815,0.7169
1.93817,0.7167
1.94819,0.7235
1.95821,0.731
1.96823,0.74
1.97824,0.7461
1.98826,0.7421
1.99828,0.7274
2.00828,0.724
2.01828,0.7266
2.02828,0.7337
2.03828,0.719
2.04827,0.7236
2.05827,0.7248
2.06827,0.7356
2.07827,0.7307
2.08827,0.7268
2.09827,0.7211
2.10826,0.7259
2.11826,0.7222
2.12827,0.7363
2.13827,0.7294
2.14828,0.7372
2.15829,0.7326
2.1683,0.725
2.1783,0.7243
2.18831,0.7228
2.19832,0.7209
2.20833,0.719
2.21833,0.7219
2.22834,0.7289
2.23835,0.7453
2.24836,0.7417
2.25834,0.7355
2.26833,0.7246
2.27831,0.7136
2.2883,0.7179
2.29828,0.7232
2.30827,0.7334
2.31825,0.7326
2.32824,0.7207
2.33822,0.7111
2.34821,0.7096
2.35819,0.7184
2.36818,0.7265
2.37818,0.7302
2.38819,0.7347
2.3982,0.7309
2.40821,0.73
2.41821,0.7367
2.42822,0.7264
2.43823,0.7213
2.44824,0.7168
2.45825,0.7158
2.46826,0.7125
2.47827,0.715
2.48828,0.7124
2.49829,0.7124
2.50829,0.72
2.51829,0.7221
2.52828,0.7206
2.53828,0.7127
2.54827,0.7067
2.55827,0.703
2.56827,0.7087
2.57826,0.7135
2.58826,0.7094
2.59826,0.7296
2.60825,0.7225
2.61825,0.7156
2.62825,0.7122
2.63824,0.7137
2.64824,0.7027
2.65823,0.7086
2.66822,0.7192
2.67822,0.7175
2.68821,0.723
2.69821,0.726
2.7082,0.7177
2.7182,0.7097
2.72819,0.7033
2.73818,0.7037
2.74818,0.7092
2.75826,0.7248
2.76835,0.727
2.77843,0.7309
2.78851,0.7295
2.7986,0.7292
2.80868,0.7313
2.81876,0.7217
2.82884,0.7197
2.83893,0.7219
2.84901,0.7212
2.85909,0.7259
2.86918,0.7249
2.8792,0.7199
2.88917,0.7149
2.89914,0.7156
2.90911,0.7216
2.91907,0.731
2.92904,0.7274
2.93901,0.7227
2.94897,0.7214
2.95894,0.7239
2.96891,0.7217
2.97887,0.7234
2.98884,0.73
2.99881,0.726
3.00881,0.7239
3.0188,0.7262
3.02879,0.7272
3.03879,0.723
3.04878,0.7099
3.05878,0.7237
3.06877,0.7251
3.07877,0.7211
3.08876,0.7183
3.09876,0.7236
3.10875,0.7169
3.11875,0.7191
3.12874,0.7172
3.13873,0.7129
3.14872,0.7097
3.15872,0.7141
3.16871,0.7317
3.1787,0.7266
3.18869,0.7302
3.19868,0.7298
3.20867,0.7138
3.21866,0.7193
3.22866,0.7224
3.23865,0.7314
3.24864,0.738
3.25867,0.7293
3.2687,0.721
3.27873,0.7185
3.28876,0.7267
3.29879,0.7351
3.30882,0.737
3.31884,0.7416
3.32887,0.7329
3.3389,0.7273
3.34893,0.7183
3.35896,0.7209
3.36899,0.7318
3.379,0.7245
3.38899,0.721
3.39898,0.7214
3.40897,0.719
3.41896,0.7132
3.42896,0.7171
3.43895,0.721
3.44894,0.7218
3.45893,0.7196
3.46892,0.7161
3.47891,0.7214
3.4889,0.7225
3.49889,0.7281
3.50892,0.7367
3.51892,0.7547
3.52893,0.7374
3.53893,0.7329
3.54894,0.7165
3.55894,0.7076
3.56894,0.7124
3.57895,0.73
3.58895,0.7362
3.59896,0.7379
3.60896,0.7301
3.61897,0.7282
3.62898,0.7292
3.63898,0.7319
3.64898,0.7289
3.65898,0.7433
3.66898,0.7394
3.67898,0.7338
3.68898,0.7151
3.69898,0.7128
3.70898,0.7137
3.71898,0.7174
3.72898,0.7277
3.73898,0.7294
3.74898,0.7293
3.75898,0.7339
3.76897,0.7376
3.77895,0.7389
3.78894,0.7246
3.79892,0.7113
3.80891,0.7109
3.8189,0.7191
3.82888,0.7288
3.83887,0.7348
3.84885,0.7382
3.85884,0.732
3.86882,0.7292
3.87885,0.7256
3.8889,0.7291
3.89895,0.7302
3.909,0.7271
3.91905,0.7247
3.9291,0.7226
3.93916,0.7107
3.94921,0.7128
3.95926,0.7197
3.96931,0.723
3.97936,0.7257
3.98941,0.7256
3.99947,0.7407
4.0095,0.7396
4.01953,0.7355
4.02956,0.7197
4.03959,0.7081
4.04962,0.7068
4.05965,0.7019
4.06969,0.7122
4.07972,0.7325
4.08975,0.7333
4.09978,0.7244
4.10981,0.724
4.11984,0.7235
4.12986,0.7151
4.13985,0.7111
4.14985,0.7151
